time_key,open,high,low,close,volume
2024-10-24,17.26,17.68,16.995,17.45,1642854
2024-10-25,17.92,18.55,17.38,17.44,1661156
2024-10-28,17.63,17.8,16.59,16.6,2582168
2024-10-29,16.35,16.67,15.19,15.67,4009092
2024-10-30,15.29,16.49,15,16.35,2297112
2024-10-31,16.01,16.22,15.5,15.62,1742047
2024-11-01,15.96,17.06,15.91,16.84,2367350
2024-11-04,16.84,17.43,16.3302,16.4,1912132
2024-11-05,16.8,17.35,16.45,16.54,2078202
2024-11-06,17.53,18,15.91,16.21,4279874
2024-11-07,16.83,18.34,16.3,17.9,7538015
2024-11-08,19.5,27.805,18.63,27.76,19430463
2024-11-11,27.85,28.6999,25.76,28.29,7278577
2024-11-12,27.72,28.94,27.2,28.54,3771344
2024-11-13,28.9,28.9,27.11,27.26,2815972
2024-11-14,27.47,29.17,27.1,28.15,4176101
2024-11-15,27.83,28.525,26.18,26.8,3451010
2024-11-18,26.75,29.38,26.27,27.32,3339203
2024-11-19,26.96,28.63,26.96,28.55,2065953
2024-11-20,29.95,34.09,29.73,34.07,6781268
2024-11-21,36.99,38.86,34.86,35.5,6408349
2024-11-22,35.8216,38.94,35.1738,37.99,4942241
2024-11-25,38.445,39.61,35.82,37.91,3574949
2024-11-26,38.27,39.41,36.17,37.02,2906606
2024-11-27,37.62,38.071,34.4317,36.42,2928267
2024-11-29,37.64,43.05,37.49,41.22,3853479
2024-12-02,42.88,43.88,40.725,40.74,4014227
2024-12-03,40.53,44.315,40.2532,41.74,3244517
2024-12-04,41.6,44.5,39.67,44.03,4414010
2024-12-05,44.03,44.2,34.2,34.48,8724017
2024-12-06,37.45,41.2899,36.35,38.88,6082531
2024-12-09,38.59,39.39,34.9136,36.16,3660807
2024-12-10,33.84,36.09,31.6105,33.09,5844929
2024-12-11,34,34.735,31.44,33.675,3922983
2024-12-12,33.5,35.4486,32.95,33,2692461
2024-12-13,33.75,38.24,33.56,36.43,4420083
2024-12-16,36.37,36.5,34.68,35.09,2257244
2024-12-17,34.95,35.005,31.33,32.11,3136455
2024-12-18,33.06,38.95,33.05,33.97,5197478
2024-12-19,34.9,36.4542,31.5,32.39,3725433
2024-12-20,32,37.94,31.5,37.82,5217255
2024-12-23,37.52,39.03,35.7,36.72,2286686
2024-12-24,36.75,40.1597,36.22,39.82,1817033
2024-12-26,39.18,41.27,38.212,40.94,1987799
2024-12-27,40.19,40.4,37.02,37.74,2475601
2024-12-30,36.98,36.99,34.19,36.24,2056321
2024-12-31,36.4,37.7,35.96,36.86,2304748
2025-01-02,35.97,37.3274,33.14,35.6,3488187
2025-01-03,35.85,38.63,35.32,37.9,2406000
2025-01-06,39.5,39.85,33.53,33.93,4706902
2025-01-07,33.98,34.65,32.51,32.98,1974747
2025-01-08,32.7,34.005,31.8935,32.37,2644561
2025-01-10,31.95,32.1,30.34,31.6,1718104
2025-01-13,30.26,30.3,28.4,28.99,2206251
2025-01-14,29.87,29.91,27,27.79,2625809
2025-01-15,28.8,31.29,28.6,31.18,2657243
2025-01-16,31.95,32.43,30.84,30.88,1928668
2025-01-17,31.87,32.1097,29.88,31.03,2358727
2025-01-21,33.21,35.433,29.61,30.15,6208463
2025-01-22,31.06,34.2,30.9,33.3,4503486
2025-01-23,32.24,33.39,31.61,32.5,1827566
2025-01-24,32.85,32.98,30.64,30.69,1914886
2025-01-27,28.58,29.72,23.94,24.54,6410993
2025-01-28,25.08,27.07,23.65,26.67,3500464
2025-01-29,26.42,27.01,25.5,26.53,1998458
2025-01-30,27.14,29,27.14,28.07,2273348
2025-01-31,28.48,29.32,27.41,27.92,2120751
2025-02-03,26.27,27.26,25.5,25.83,3201461
2025-02-04,24,27.59,22.7201,27.115,4614601
2025-02-05,26.66,29.41,26.1,28.16,2671187
2025-02-06,28.68,30.8,28.475,30.38,2516836
2025-02-07,30.55,30.775,28.7052,29.61,1513513
2025-02-10,30.12,31.93,28.91,30.52,2915979
2025-02-11,29.29,29.7584,27.82,27.85,2690763
2025-02-12,27.8,28.2328,24.71,25.03,2738825
2025-02-13,25.5,27.55,25.4,27.04,2315397
2025-02-14,26.54,27.0265,25.7156,25.9,2250183
2025-02-18,26.19,28.7099,25.4,26.43,3247242
2025-02-19,26.56,30.14,26.5,27.33,6111514
2025-02-20,28.3,29.42,26.82,27.5,3754810
2025-02-21,28.69,31.695,27.01,27.04,7237774
2025-02-24,27.82,31,26.76,27.32,5812217
2025-02-25,27.7,28.95,22.27,23.34,8281243
2025-02-26,24.6,26.9724,24.6,25.19,6023472
2025-02-27,24,26.096,22.01,24.04,7224286
2025-02-28,23.288,23.5,20.35,21.86,5822465
2025-03-03,22.2,22.898,17.345,17.72,7997374
