time_key,open,high,low,close,volume
2024-10-24,228.74,230.34,227.42,229.68,2376151
2024-10-25,231.84,235.2,230.04,230.17,1733471
2024-10-28,229.13,231.95,228.6,230.14,3403740
2024-10-29,229.7,235.86,229.01,235.23,2056224
2024-10-30,230.78,232.99,229.88,230.12,2084447
2024-10-31,230.16,230.2,220.83,223.11,4258086
2024-11-01,223.87,226.6,223,225.48,2922814
2024-11-04,225,226.78,223.4401,224.19,1599638
2024-11-05,219.31,219.31,215.32,217.6,3753393
2024-11-06,223.68,228.09,221.94,226.25,3615271
2024-11-07,229.63,230.27,225.72,227.77,2500936
2024-11-08,226.56,228.12,224.76,225.8,3426964
2024-11-11,223.85,225.01,218.42,220.47,3271768
2024-11-12,220.49,220.85,215.9,219.55,2593982
2024-11-13,216.77,217.68,212.44,212.84,4609884
2024-11-14,213.44,215.035,211.46,212.24,3214113
2024-11-15,208.77,210.38,205.4,206.35,3880962
2024-11-18,206.52,209.89,206.11,209.65,3774689
2024-11-19,207.7,210.82,206.8,210.43,2958662
2024-11-20,207.25,211.16,207.25,211.01,3072769
2024-11-21,212.29,215.01,210.05,213.96,2540586
2024-11-22,211.54,214.75,211.54,214.59,2695385
2024-11-25,217.74,225,216,223.58,7303632
2024-11-26,232.15,233.55,216.005,219.05,6569057
2024-11-27,219.32,219.4,213.9,217.17,2943466
2024-11-29,219.19,221.7,217.5,218.05,1992604
2024-12-02,218.13,224.79,217.01,223.12,3240246
2024-12-03,221.58,223.33,219.95,221.54,2340471
2024-12-04,223.11,223.21,217.86,218.3,2635207
2024-12-05,217.23,219.39,213.8555,214.55,2475089
2024-12-06,214.73,218.59,213.73,218.2,3189499
2024-12-09,215.97,223.55,215.16,219.04,2467331
2024-12-10,219.04,219.67,214.5,215.61,2679445
2024-12-11,216.03,219.04,215.559,217.12,3839345
2024-12-12,215.15,218.73,214.644,217.72,2995032
2024-12-13,215.41,217.97,213.75,216.61,3067545
2024-12-16,214.92,217.79,213.66,216.31,3410112
2024-12-17,215.89,217.93,212.36,213.82,3240525
2024-12-18,215.16,218.95,207.26,207.77,4077394
2024-12-19,209.6,210.61,207.23,207.78,3942278
2024-12-20,206.28,213.3575,205.83,211.78,6604074
2024-12-23,211.93,215.58,211.545,214.89,2478480
2024-12-24,215.94,218.21,213.67,218.09,1063511
2024-12-26,215.39,219.07,215.39,218.06,1189273
2024-12-27,217.43,218.25,215.24,216.99,1926739
2024-12-30,214.25,214.625,211.025,212.56,2578313
2024-12-31,214,214.55,211.07,212.46,1608772
2025-01-02,215.49,217.25,209.75,211.35,2379261
2025-01-03,212.76,216.11,210.395,215.37,2547489
2025-01-06,215.33,221.53,214.775,218,2490969
2025-01-07,219.79,220.28,214.3,215.87,3573300
2025-01-08,215.4,221.16,212.63,220.44,3096841
2025-01-10,217.54,219.37,211.79,212.37,4108662
2025-01-13,209.34,213.37,208.09,212.95,3960579
2025-01-14,213.16,214.83,211.54,214.65,1634673
2025-01-15,217.5,219.59,215.7,218.22,3302798
2025-01-16,218.3,218.3,212.71,215.02,3116371
2025-01-17,220.56,220.635,217.84,219.16,2871536
2025-01-21,219.23,223.65,219.16,221.45,4091227
2025-01-22,221.45,226.22,221.1,224.08,2883331
2025-01-23,221.88,228.43,221.53,228.35,2607991
2025-01-24,224.62,226.04,217.13,217.37,3929413
2025-01-27,217.4,220.8175,213.64,215.42,7088010
2025-01-28,212.81,213.905,207.9,209.52,3748857
2025-01-29,209.54,211.87,209.01,209.91,2258503
2025-01-30,210.23,213.065,209.1,212.4,2976438
2025-01-31,211.71,217.62,210.69,211.89,3486618
2025-02-03,209.29,209.65,202.765,205.24,4483530
2025-02-04,204.6,208.35,204.07,206.01,4651510
2025-02-05,205.43,210.55,204.16,209.8,4516698
2025-02-06,208.73,210.51,205.7485,207.83,2715143
2025-02-07,207.68,209.545,203.74,205.21,3194710
2025-02-10,206.58,207.205,202.97,204.86,2820450
2025-02-11,202.93,206.62,202.64,203.46,2335759
2025-02-12,201.01,205.4,200.8,205.13,2411505
2025-02-13,204.99,209.65,204.99,209.34,3134872
2025-02-14,211.24,215.15,210.63,214.61,3938608
2025-02-18,217.265,220.51,215.77,220.22,7400196
2025-02-19,230.02,242.51,224.1,241.66,9789553
2025-02-20,243.54,247.1,242.5545,243.82,5890083
2025-02-21,244.93,246.08,237.76,238.91,6176603
2025-02-24,240.28,240.64,236.18,236.99,4778259
2025-02-25,238.33,238.33,234.38,235.3,4136763
2025-02-26,235.04,236.38,231.83,233.73,2908161
2025-02-27,234.23,234.23,223.5,223.85,4480434
2025-02-28,225.99,230.12,223.05,230.06,4631189
2025-03-03,231.84,233.825,225.67,228.53,5000149
2025-03-04,230.46,231.44,223.9,226.18,4742681
2025-03-05,227.18,229.86,222.6991,229.47,3927336
2025-03-06,225.68,228.87,222.05,222.77,4818664
2025-03-07,223.59,226.655,219.74,225.86,4062874
2025-03-10,220.22,221.145,213.15,216.26,4946560
2025-03-11,217.33,217.385,206.48,209.08,4225517
2025-03-12,209.08,212.99,205.62,206.62,3917668
2025-03-13,206,208.16,202.59,203.8,2625568
2025-03-14,207.36,209.85,206.2288,208.75,2614297
2025-03-17,207.75,213.3699,207.37,211.68,2514464
2025-03-18,210.58,210.75,207.69,209.16,2657324
2025-03-19,209.19,213.03,208.09,209.97,2571926
2025-03-20,208.165,208.165,204.81,205.9,2775730
2025-03-21,203.06,205.27,201.28,204.4,5070459
2025-03-24,210,214.08,209.74,212.34,3458275
2025-03-25,210.98,214.63,210.98,213.58,2550034
2025-03-26,213.15,214.9,209.685,210.53,2454565
2025-03-27,208.68,211,205.88,208.94,2885111
2025-03-28,207.82,208.06,200.77,201.56,3521430
2025-03-31,200.23,202.52,196.8,201.67,3803746
2025-04-01,200.26,200.84,195.1224,199.18,3383360
2025-04-02,195.76,202.3,195.76,199.59,2437534
2025-04-03,191.82,193.195,180.4,180.88,6970781
2025-04-04,174.61,176.41,164.14,164.6,9634182
2025-04-07,163.2,183.31,158.65,171.34,10236502
2025-04-08,175.38,179.24,161.83,166.09,7640250
2025-04-09,166.05,198.46,164.58,196.63,10941563
2025-04-10,189.63,189.63,170.93,178.36,8548018
2025-04-11,172.125,180.975,167.2,179.16,6528889
2025-04-14,183.26,185,175.58,178.6,3912108
2025-04-15,178.6,182.47,178.07,179.54,3035881
2025-04-16,173.67,177.36,170.39,175.93,4392829
2025-04-17,177.89,178.34,173.58,176.27,3341240
2025-04-21,172.65,175.47,171,174.99,3650119
2025-04-22,176.78,179.19,175.205,178.5,3735027
2025-04-23,185.99,187.84,182.475,183.11,4323335
2025-04-24,192.725,197.515,191.05,195.23,5606678
2025-04-25,192.95,196.37,191.69,194.59,3206797
2025-04-28,193.36,196.37,189.95,193.72,3401605
2025-04-29,191.5,194.815,190.36,192.67,3939847
2025-04-30,187.55,195.34,186.7265,194.92,4415391
2025-05-01,196.84,197.165,193.44,193.74,3439454
2025-05-02,197.86,199.7125,197.15,198.59,3795868
2025-05-05,196.16,199.715,195.59,197.72,2022742
2025-05-06,194.89,197.4,194.26,195.6,2535541
2025-05-07,196.63,200.72,195.69,199.86,2966391
2025-05-08,202.26,206.04,200.96,202.78,3422453
2025-05-09,207.24,210.14,206.29,207.51,3537650
2025-05-12,222.87,225.49,219.1,223.15,6358273
2025-05-13,221.965,227.07,220.2489,226.68,4373921
2025-05-14,227.64,228.34,224.01,226.82,4648600
2025-05-15,224.425,228.7975,224.01,227.12,3045249
2025-05-16,227.16,227.8,225.525,227.11,3618204
2025-05-19,223.635,226.805,223.07,224.54,3974323
2025-05-20,222.32,224.6,221.93,224.49,2619352
2025-05-21,222.6,227.39,221.325,222.22,5091059
2025-05-22,221.46,224.395,211.37,211.93,8968264
2025-05-23,208.98,211.04,206,210.47,4848159
2025-05-27,215.15,217.87,212.73,216.89,5542334
2025-05-28,217.61,218.19,215.46,215.62,3853917
2025-05-29,218.055,218.5,214,215.75,3800393
2025-05-30,215.28,215.84,210.8,213.98,10923408
2025-06-02,212.4,216.2,212.215,215.45,2233860
2025-06-03,214.03,218.89,213.05,218.43,3515816
2025-06-04,219.83,221.19,217.33,218.5,4199395
2025-06-05,219.8,222.585,217.02,218.04,3496524
2025-06-06,220.68,225.35,220.625,222.26,3246129
2025-06-09,223.815,229.175,223.405,227.66,4110605
2025-06-10,228.27,234.76,228.01,233.34,4164753
2025-06-11,234.09,236.115,230.27,232.54,3311792
2025-06-12,231.53,233.74,230.85,232.12,2144281
2025-06-13,227.56,228.9352,224.38,225.03,3349605
2025-06-16,228.13,231.915,227.5,231.8,3344891
2025-06-17,229.2,231.69,227.31,227.44,2726467
2025-06-18,230.42,233.08,228.84,229.65,2551734
2025-06-20,231.745,232.02,225.57,228.35,5316062
2025-06-23,228.19,231.31,226.7,230.98,3573457
2025-06-24,233.91,235.61,233.21,234.98,3636539
2025-06-25,235.6,236.45,231.62,234.68,3548885
2025-06-26,236.03,238.22,235.1,237.3,3057975
2025-06-27,237,239.0659,234.94,236.96,3617766
2025-06-30,237.54,238.67,235.66,238.02,3258867
