time_key,open,high,low,close,volume
2024-10-24,101.29,101.43,99.18,99.39,2099418
2024-10-25,99.79,99.9,98.05,98.19,2338992
2024-10-28,98.85,99.33,98.56,99.11,2420510
2024-10-29,98.73,98.73,97.07,97.39,2660593
2024-10-30,97.39,97.85,96.6901,97.4,3362348
2024-10-31,97.45,99.34,97.26,98.75,4884891
2024-11-01,98.53,99.23,97.07,97.25,3807230
2024-11-04,96.75,98.44,96.687195,98.4,3879984
2024-11-05,98.63,100.48,98.19,100.4,5926215
2024-11-06,99.13,100,96.18,96.25,6428236
2024-11-07,96.18,96.905,95.31,96.33,3510024
2024-11-08,95.87,97.15,95.59,96.4,2581086
2024-11-11,96,96.37,94.25,94.51,3411586
2024-11-12,94.32,94.74,92.6,92.96,3484789
2024-11-13,93.05,93.47,92.51,93.33,2561491
2024-11-14,93.18,94.59,92.95,93.76,2571099
2024-11-15,94.12,96.44,93.805,96.31,5558396
2024-11-18,96.31,97.38,96.1,96.49,3399380
2024-11-19,96.1,96.76,95.375,96.7,1879773
2024-11-20,96.25,96.859,95.9,96.8,2527616
2024-11-21,97.11,98.15,96.405,98.08,2849792
2024-11-22,98.19,98.523,97.5411,97.59,2048838
2024-11-25,97.89,98.5,97.1175,98.1,3384392
2024-11-26,98.73,99.47,98.31,99.33,2277618
2024-11-27,99.6,100.72,99.6,99.89,1558665
2024-11-29,99.93,100.28,99.3,99.86,1260574
2024-12-02,99.96,100,97.732,98.22,2188262
2024-12-03,98.9,98.9,97.01,97.02,1917910
2024-12-04,97.24,97.34,95.88,96.25,2832293
2024-12-05,96.35,97.98,96.21,97.45,2234706
2024-12-06,97.18,97.43,95.655,95.85,2677482
2024-12-09,95.85,96.86,95.3,95.58,2651122
2024-12-10,95.58,95.58,93.59,95.1,2045457
2024-12-11,95.21,95.21,93.235,93.63,2925563
2024-12-12,93.3,94.2,92.8,92.85,1983938
2024-12-13,92.56,93.38,92.165,92.71,1810496
2024-12-16,92.71,92.86,91.7,91.77,2410693
2024-12-17,91.47,93.04,91.2947,91.92,2749285
2024-12-18,91.83,92.245,90.8574,90.91,3451294
2024-12-19,90.55,92.03,90.42,91.24,3148135
2024-12-20,91.84,93.07,91.225,92.75,6781854
2024-12-23,92.47,92.98,91.59,92.86,2282491
2024-12-24,92.55,93.11,92.25,92.37,1404390
2024-12-26,92.05,92.56,91.8,92.06,2066494
2024-12-27,91.62,92.66,91.31,92.51,1722698
2024-12-30,92.59,92.64,91.23,92.06,1661240
2024-12-31,92.18,92.4799,91.5,92.23,1594689
2025-01-02,92.57,93.23,91.59,91.94,1758243
2025-01-03,92.4,93.06,92.025,92.05,1688550
2025-01-06,92.05,92.05,90.01,90.32,3457335
2025-01-07,90.1,91.9099,90.1,90.47,2706061
2025-01-08,90.25,92.35,89.91,92.26,2591652
2025-01-10,93.15,94.67,92.67,93.51,7730952
2025-01-13,95.15,95.92,92.76,94.54,6013945
2025-01-14,93.67,94.54,93.43,94.5,3172362
2025-01-15,95.38,95.61,94.53,95.12,3104703
2025-01-16,94.88,96.85,94.7,96.82,2456586
2025-01-17,97.64,97.975,96.8,97.25,2728874
2025-01-21,98,98.73,97.595,97.81,2439941
2025-01-22,97.58,98.13,96.85,97.49,3503993
2025-01-23,98.29,99.5,97.38,97.47,4428051
2025-01-24,97.08,98.5,97.05,98.18,2140389
2025-01-27,99.34,103.05,98.16,102.63,5428327
2025-01-28,102.47,102.47,99.75,100,3524295
2025-01-29,100.03,100.73,97.355,98.05,3345809
2025-01-30,98.55,99.15,97.56,98.03,3590720
2025-01-31,97.84,99.0529,97.52,98.36,4913005
2025-02-03,98.36,99.685,97.32,99.36,2659345
2025-02-04,98.52,99.065,97.8,97.88,2126457
2025-02-05,98.67,99.89,98.4,99.39,2280543
2025-02-06,99.64,100.665,98.87,100.17,3152592
2025-02-07,100.14,100.435,99.41,100.35,2861565
2025-02-10,99.76,100.955,99.11,100.83,2473838
2025-02-11,100.59,102.11,99.47,101.88,3165950
2025-02-12,100.73,102.52,100.595,102.35,3163014
2025-02-13,101.37,102.57,100.32,100.99,4938973
2025-02-14,101.21,102.915,100.84,101.83,2770900
2025-02-18,101.29,103.24,101,102.2,3146403
2025-02-19,102.67,103.16,101.715,103.09,2510807
2025-02-20,102.97,104.65,102.195,104.35,2702099
2025-02-21,104.35,105.73,104.06,105.33,4001985
2025-02-24,105.87,107.36,105.21,106.29,3074950
2025-02-25,106.7,107.84,105.97,107.64,3408687
2025-02-26,107.23,107.51,106.37,106.89,2446487
2025-02-27,106.2,106.78,104.8,105.16,3661302
2025-02-28,106.1,107.11,104.6601,106.05,4391030
2025-03-03,105.85,107.82,105.69,107.7,3451963
2025-03-04,108.53,109.52,105.14,105.24,5609604
2025-03-05,104.5,105.46,103.19,103.39,3665626
2025-03-06,103.3,103.31,101.42,102.59,3031045
2025-03-07,102.84,104.875,102.675,104.62,4042360
2025-03-10,104.91,108.67,104.91,107.32,5535443
2025-03-11,107.67,107.99,104.39,104.43,4282726
2025-03-12,102.875,103.79,102.35,102.96,3284601
2025-03-13,102.81,104.29,102.695,104.24,1909589
2025-03-14,104.06,105.95,103.59,105.56,4419415
2025-03-17,105.67,106.83,105.1324,105.86,5577081
2025-03-18,106.29,106.49,105.38,105.99,2757770
2025-03-19,105.85,106.3,105.14,105.84,2786985
2025-03-20,105.8,106.59,105.55,106.21,2946596
2025-03-21,106.14,106.65,104.4,105.11,5649258
2025-03-24,105.25,105.69,104.025,104.18,2619410
2025-03-25,103,103,101.96,102.5,24651799
2025-03-26,102.78,104.31,102.565,103.9,5939105
2025-03-27,103.94,105.6,103.78,105.15,5233011
2025-03-28,105.87,107.41,105.3736,106.96,6173680
2025-03-31,108.37,109.76,107.841,109.27,6560140
2025-04-01,108.61,108.88,107.52,108.37,3941851
2025-04-02,108.8,108.8,107.27,107.75,3279811
2025-04-03,109.76,110.46,107.75,109.11,6063284
2025-04-04,110.12,110.48,103.915,104.48,7368580
2025-04-07,104.25,104.79,100.67,101.57,7767680
2025-04-08,102.28,103.98,100.56,101.28,6473357
2025-04-09,100.95,103.82,98.35,102.35,7048079
2025-04-10,102.1,104.31,101.515,103.2,4114838
