time_key,open,high,low,close,volume
2024-10-24,174.26,174.3,169.5,171.35,20485174
2024-10-25,174.19,176.796,172.72,173,19977679
2024-10-28,173,173.9728,171.345,172.02,13195829
2024-10-29,172.435,180.23,171.2101,179.24,23702344
2024-10-30,177.47,179.19,175.62,176.64,17911488
2024-10-31,174.45,174.45,167.38,169.77,26086587
2024-11-01,168.26,171.3255,167.5,168.92,17847038
2024-11-04,169.28,172.45,168.42,168.55,13621310
2024-11-05,170.05,174.4,170.05,173.9,13441752
2024-11-06,179.63,180.21,175.96,179.55,24300758
2024-11-07,181.9853,184.8722,181.79,183.81,18970581
2024-11-08,182.99,185.05,181.83,183.64,13503154
2024-11-11,183.4,183.63,176.8201,178.91,17036660
2024-11-12,178.9,179.56,173.2,176.22,15861981
2024-11-13,174.705,175.5926,172.6,173.58,17472513
2024-11-14,174.77,175.57,169.87,170.38,20638855
2024-11-15,168.47,169.135,163.43,164.84,20836160
2024-11-18,165.66,166.3463,162.22,165.67,17870329
2024-11-19,166.66,166.8,164.31,165.35,18003401
2024-11-20,165.54,165.54,160.86,163.25,17196728
2024-11-21,166.25,166.34,160.6,163.94,24835252
2024-11-22,164.3,164.9092,162.4,164.23,17332473
2024-11-25,165.395,167.225,162.89,164.82,26850591
2024-11-26,164.6,166.37,162.69,164.74,16308772
2024-11-27,163.2,163.2,157.54,159.67,19722723
2024-11-29,159.57,162.69,159.08,162.08,11024005
2024-12-02,162.95,168.3797,162.75,166.51,21472442
2024-12-03,164.48,168.27,164.03,168.15,17024434
2024-12-04,173.44,175.39,168.56,170.56,32748246
2024-12-05,170.75,172.3981,169.2,170.47,18489993
2024-12-06,170.1,180.68,169.3301,179.53,27830828
2024-12-09,178.95,180.7933,176.0209,178.94,20886305
2024-12-10,177.81,178.5,169.73,171.81,27762632
2024-12-11,180.01,184.87,176.4296,183.2,41295179
2024-12-12,180.93,182,175.99,180.66,46967170
2024-12-13,213.9,228.7,211.11,224.8,121336628
2024-12-16,231.79,251.88,230.81,250,111623166
2024-12-17,240.65,242.47,233.8,240.23,70382134
2024-12-18,239.41,239.85,219.22,223.62,53960103
2024-12-19,227.91,228.05,217.58,218.32,40845167
2024-12-20,220.36,230.29,218.91,220.79,131910354
2024-12-23,226.69,233.3994,225.13,232.35,40643778
2024-12-24,240.115,240.228,234.8,239.68,22827188
2024-12-26,240,247.28,237.6,245.36,28537540
2024-12-27,245.64,245.78,236.3532,241.75,29282230
2024-12-30,234.695,238.77,231.62,235.58,27316797
2024-12-31,235.88,237.46,231.31,231.84,17927719
2025-01-02,236.155,239.5,230.2425,231.98,31525830
2025-01-03,233.59,236.4893,229,232.55,24973192
2025-01-06,236.5,241.75,233.3,236.41,34028377
2025-01-07,239.5,239.5,227.6,228.64,25928606
2025-01-08,229.7,232.47,226.06,229.31,18756487
2025-01-10,227.3,227.83,221.25,224.31,23864005
2025-01-13,219.99,229.26,219.51,225.29,23772091
2025-01-14,226.57,230.26,223.1,224.7,18143124
2025-01-15,228.55,230.34,225.58,228,21745616
2025-01-16,235.22,238.6,229.21,229.41,23471871
2025-01-17,237.08,238.1,232.66,237.44,31196642
2025-01-21,241.5,242.75,237.4,240.31,30903186
2025-01-22,246.75,246.99,240.69,240.91,29610501
2025-01-23,238.41,240.4,236.12,240.28,17653942
2025-01-24,244.7,249.59,241.91,244.7,25387825
2025-01-27,213.4,218.43,196.23,202.13,90569376
2025-01-28,208.01,209.95,198.89,207.36,50315987
2025-01-29,208.84,211.45,202.77,206.35,32533735
2025-01-30,218.57,221.96,213.7,215.66,42449478
2025-01-31,219.66,226.8,216.3,221.27,41150975
2025-02-03,215.46,220.9377,213.51,217.73,24507274
2025-02-04,219.35,223.03,215.3,222.43,23768517
2025-02-05,233.94,237.9299,227.5,232,29250582
2025-02-06,234.5,234.8,228.56,231.36,21169529
2025-02-07,235,235.65,224.11,224.87,22117468
2025-02-10,227.43,235.82,227.12,235.04,23901643
2025-02-11,232.48,237.89,229.9739,235.04,18476200
2025-02-12,230.355,236.48,230,236.35,16397336
2025-02-13,236.06,236.95,230.7276,235.8,20962031
2025-02-14,234.53,235.74,228.9,233.04,16988777
2025-02-18,230.1,232.2,224.3001,228.53,26080547
2025-02-19,227.85,229.0653,224.4,228.73,16375487
2025-02-20,228.645,228.98,222.75,226.74,16103996
2025-02-21,225.65,227.75,215.63,218.66,24883556
2025-02-24,218.6,219.48,207.54,207.93,33050425
2025-02-25,207,208.6425,200.92,202.54,33100814
2025-02-26,206.91,213.54,206,212.94,21368302
2025-02-27,217.28,219.25,197.4,197.8,27572887
2025-02-28,195.76,201.19,193.15,199.43,39747248
2025-03-03,204,204.06,184.53,187.37,37435603
2025-03-04,189.215,193.95,180.48,187.48,37910477
2025-03-05,191.86,194.08,187.1,191.58,25644540
2025-03-06,181.04,186.83,177.61,179.45,56864099
2025-03-07,187.73,195.48,181.56,194.96,74528855
2025-03-10,189.6,191.978,180.43,184.45,44217115
2025-03-11,188.05,195.6155,185.345,190.09,42153248
2025-03-12,196.215,199.98,192.4527,194.23,30409728
2025-03-13,193.15,196.32,189.465,191.36,27236137
2025-03-14,196.2,197.5,193.2,195.54,25900939
2025-03-17,188.05,196.72,187.5,194.5,26830624
2025-03-18,190.44,192.89,186.9,188.67,24951025
2025-03-19,189.34,198.27,186.9,195.57,37962698
2025-03-20,191.52,193.8365,188.94,190.54,31430022
2025-03-21,188.21,192.07,187.37,191.66,43086517
2025-03-24,194.295,196.69,190.67,191.25,33180280
2025-03-25,190.885,191.6,187.68,188.26,23417250
2025-03-26,186.66,188.06,177.582,179.27,30670536
2025-03-27,177.655,178.38,170.46,171.99,32151667
2025-03-28,171.93,173.3,166.47,169.12,30391479
2025-03-31,164.485,167.94,160.62,167.43,35656449
2025-04-01,166.37,168.71,163.42,168.52,20472443
2025-04-02,166.08,173.43,165.5,172.09,19523663
2025-04-03,160.54,163.425,153.7,154.01,44354859
2025-04-04,148.17,152.8,139.1701,146.29,72302229
2025-04-07,144.49,160.43,138.1,154.14,68503505
2025-04-08,167.62,169.78,153.09,156.03,58888228
2025-04-09,160.5,187.33,157.51,185.15,72708307
2025-04-10,175.3,176.95,166.4,172.3,51212217
2025-04-11,173.62,182.66,173.31,181.94,33964143
2025-04-14,185.075,186,175.82,178.36,25748301
2025-04-15,179.725,182.2644,178.08,178.95,17242350
2025-04-16,170.43,176.08,166.92,174.61,34638639
2025-04-17,176.25,176.25,169.9156,170.99,22501785
2025-04-21,166.99,168,161.61,166.21,23469794
2025-04-22,167.43,170.52,165.2229,169.58,18504860
2025-04-23,177.78,180.45,175.82,176.91,24380470
2025-04-24,179.69,188.57,178.295,188.15,27576900
2025-04-25,186.92,193.37,186.89,192.31,21242342
2025-04-28,190.53,193.1,187.68,192.47,16385846
2025-04-29,191.72,193.25,190.1,191.17,14630015
2025-04-30,185.895,193.2,184.02,192.47,22768862
2025-05-01,198.14,201.4,196.235,197.33,24939695
2025-05-02,203.9,205.68,201.08,203.64,17766751
2025-05-05,200.25,203.2347,200,200.72,14025425
2025-05-06,196.44,201.91,195.94,200.09,16348806
2025-05-07,199.285,206.23,198.43,204.81,20277825
