time_key,open,high,low,close,volume
2024-10-24,442.58,446.7475,438.17,443.12,263431
2024-10-25,446.12,449.83,442.71,444.52,331952
2024-10-28,449.1,449.1,443.25,444.77,447236
2024-10-29,444.96,447.625,443.7,444,489050
2024-10-30,443.33,445.48,438.76,439,428115
2024-10-31,435.96,436.9,422.38,423.5,877593
2024-11-01,426.82,430.155,424.57,425.84,600627
2024-11-04,425.84,435.504,424.99,431.57,479013
2024-11-05,433.97,442.77,433.97,441.09,656281
2024-11-06,459.03,462.64,450.72,459.52,724186
2024-11-07,465.5,471,462.8109,468.75,832567
2024-11-08,540,611.88,515,603.18,3966980
2024-11-11,611.06,624.8399,588.02,616.14,1793148
2024-11-12,609.11,609.355,591.74,595.18,1390253
2024-11-13,600,617.1499,599.72,601.29,850740
2024-11-14,601,609.37,592.21,604.56,727328
2024-11-15,599.53,602,594.4228,599.35,682856
2024-11-18,601.04,610.33,592,600,669695
2024-11-19,598.3,618.0699,598.01,610.2,1064591
2024-11-20,609.18,613.2499,598.95,609.82,572570
2024-11-21,621.99,640.51,611,631.27,885468
2024-11-22,635.5,641.2,623.505,636.95,699097
2024-11-25,639.54,639.99,607.2,619,1499893
2024-11-26,622.6,633,621.215,632.16,619320
2024-11-27,632.1,636.365,625.81,634.96,505877
2024-11-29,639.38,652.225,639,646.96,397629
2024-12-02,649.2,649.3944,634.95,636.39,866764
2024-12-03,652.82,675.475,638,669.87,1383680
2024-12-04,667.09,689.39,667.09,687.39,925209
2024-12-05,688.01,695.94,677.4,689.78,732660
2024-12-06,689.73,698.67,680.242,687.69,938723
2024-12-09,687.69,687.97,631.0322,642.59,1177606
2024-12-10,647.22,659.68,633.31,637.45,928328
2024-12-11,646.68,651.14,633.8581,642.45,639170
2024-12-12,648.01,657.7475,635.81,636.41,667455
2024-12-13,635.29,648.91,635,644.91,557664
2024-12-16,652,654,603.3322,649.3,1741642
2024-12-17,642.93,648.6894,632,635.76,1497650
2024-12-18,637,638.8747,604.14,609.96,1614002
2024-12-19,620.54,626.58,608,615.68,1316458
2024-12-20,607.95,633.21,605.095,631.69,7032769
2024-12-23,634.64,642.53,616.9701,624.14,626799
2024-12-24,619.67,631.78,619.07,631.25,260504
2024-12-26,630,630,620.96,623.8,526622
2024-12-27,620.95,622.46,606.55,610.98,392170
2024-12-30,601.2,607.24,591.14,604.32,649149
2024-12-31,607.17,607.17,592.28,594.32,510410
2025-01-02,604.07,612.2548,588.19,596.49,517294
2025-01-03,595.36,608.9499,594.18,601.06,434723
