time_key,open,high,low,close,volume
2024-10-24,54.91,55.21,53.18,53.85,4872526
2024-10-25,53.8,54.87,53.46,53.79,3510143
2024-10-28,53.26,55.75,53.05,55.17,4265330
2024-10-29,55,55.47,54.36,54.77,2473524
2024-10-30,54.56,54.73,53.59,53.98,2824649
2024-10-31,53.42,53.7,51.31,52.22,4988906
2024-11-01,53.04,53.668,52.26,52.5,4298144
2024-11-04,51.24,51.75,50.16,51.15,4587658
2024-11-05,51.59,51.98,50.96,51.26,2903313
2024-11-06,52.6,52.6,50.78,51.21,5921445
2024-11-07,51.8,54.48,51.21,53.58,5817009
2024-11-08,53.75,54.11,51.84,52.54,4050761
2024-11-11,52.75,52.75,50.91,52.08,3139565
2024-11-12,51.6,54.67,51.33,54.41,6283150
2024-11-13,55.64,56,52.38,52.98,5121335
2024-11-14,52.75,54.09,52.71,53.11,3413220
2024-11-15,52.59,56.47,51.71,53.59,10937847
2024-11-18,54.36,57.31,54.06,55.9,6857298
2024-11-19,56.18,57.84,55.58,57.46,4948864
2024-11-20,58.37,59.24,56.69,57.61,4440393
2024-11-21,58.74,60.98,58.02,60.93,6295761
2024-11-22,60.16,60.52,58.6423,60.11,3873548
2024-11-25,60.5,60.78,57.9,58.11,3792644
2024-11-26,57.73,58.9089,57.11,58.62,3037360
2024-11-27,58.68,58.92,57.62,57.81,2241032
2024-11-29,58.59,60.55,58.3,59.45,2813774
2024-12-02,60.1,61.05,58.17,58.83,3098270
2024-12-03,58.83,59.64,57.74,59.39,2748923
2024-12-04,60.05,60.71,58.77,59.61,2794568
2024-12-05,59.5,61.42,59.25,61.14,3689020
2024-12-06,61.5,62.55,60.67,61.06,3483456
2024-12-09,61.67,61.9,57.33,57.52,5459520
2024-12-10,56.915,57.5,55.78,56.42,5823042
2024-12-11,56.67,57.9,56.05,57.81,3117960
2024-12-12,57,57.38,55.36,56,4413835
2024-12-13,55.83,56.25,54.26,54.29,3750804
2024-12-16,54.08,54.72,53.24,54.19,3156857
2024-12-17,53.15,53.67,52.35,53.42,3681927
2024-12-18,53.67,54.77,51.695,51.93,3947563
2024-12-19,52.6,53.285,51.76,52.91,3665593
2024-12-20,51.79,53.43,51.6,52.44,3553751
2024-12-23,52.13,53.3,52.13,53.14,1845990
