time_key,open,high,low,close,volume
2024-10-24,66.39,67.17,65.47,66.06,1154064
2024-10-25,66.08,66.16,64.03,64.12,2063211
2024-10-28,63.41,64.83,63.17,64.09,1861859
2024-10-29,64.25,66.24,63.6,65.32,1710516
2024-10-30,65.28,65.56,64.17,64.63,1384494
2024-10-31,64.25,64.91,63.46,63.51,1230168
2024-11-01,64.14,65.38,63.66,63.97,1427143
2024-11-04,63.96,64.46,63.17,63.24,1131296
2024-11-05,63.24,65.96,63,65.86,1353184
2024-11-06,67.84,68.86,67.07,68.5,1821900
2024-11-07,68.5,71.05,68.4,70.32,2385108
2024-11-08,70.33,72.36,70.1,71.91,2277069
2024-11-11,72.51,73.47,71.39,72.05,1496665
2024-11-12,72,72,69.94,70.93,1565257
2024-11-13,71.09,72.78,70.6,71.4,1695492
2024-11-14,70.92,71.27,69.32,69.75,1613345
2024-11-15,68.99,69.02,66.97,67.22,1611781
2024-11-18,67.63,67.935,65.71,66.58,1210735
2024-11-19,66.13,67.51,65.62,67.1,1121769
2024-11-20,67.09,67.32,65.98,66.48,1023825
2024-11-21,67.41,68.8799,66.96,68.17,1286108
2024-11-22,68.3,70.31,68.2,70.13,1419713
2024-11-25,70.58,71.635,69.98,70.18,1728601
2024-11-26,70.41,71.18,69.52,70.86,1086307
2024-11-27,70.63,71.1,68.38,69.17,945756
2024-11-29,69.94,70.5,69.52,69.72,667614
2024-12-02,69.77,70.23,69.2813,69.52,1245138
2024-12-03,69.55,71.56,69.2,71.05,1242825
2024-12-04,71.82,73.49,71.385,73.15,1758762
2024-12-05,72.57,73.45,72.15,72.23,1634790
2024-12-06,71.94,73.78,71.94,73.58,1282595
2024-12-09,74.95,75.11,72.97,73.02,2523861
2024-12-10,72.78,73.42,70.6,70.88,2595667
2024-12-11,71.28,73.8699,70.6,73.21,3671862
2024-12-12,83.67,89.2499,82,84.52,11352608
2024-12-13,87.16,91.25,86.9,89.72,6668578
2024-12-16,88.65,91.82,88.65,91.14,3551151
2024-12-17,90.23,91.2,87.6,88.14,2912284
2024-12-18,89.21,89.7,83.07,83.92,2744655
2024-12-19,85.5,86.16,84.0501,85.79,2087055
2024-12-20,84.85,89.22,84.54,87.38,3838621
2024-12-23,87.33,88.12,86.5,87.62,1243434
2024-12-24,87.65,88.24,87.08,87.93,542483
2024-12-26,87.64,88.8099,87.337,88.44,960409
2024-12-27,87.68,87.865,86.3248,86.66,1093848
2024-12-30,85.25,85.86,84.062,85.01,1128484
2024-12-31,85.11,85.38,84.38,84.81,1310461
2025-01-02,85.07,86.17,82.01,83.24,2501278
2025-01-03,83.64,84.51,83.12,83.61,1597162
2025-01-06,84.45,85.365,83.83,84.49,1651596
2025-01-07,84.95,85.24,81.46,81.93,2359048
2025-01-08,81.65,82.86,80.6,82.23,1498654
2025-01-10,80.6,84.76,80.24,82.25,1843334
2025-01-13,80.74,82.27,80.61,82.24,1355118
2025-01-14,83.21,83.9442,82.51,83.48,1229911
2025-01-15,85.91,86.95,84.155,85.7,1906052
2025-01-16,85.9,86.24,83.95,84.04,1392970
2025-01-17,85,85.83,84.325,84.76,1563631
2025-01-21,85.4,88.8799,85.4,88.68,2320051
2025-01-22,93,95.27,92,94.85,3402233
2025-01-23,93.73,100.92,93.48,98.18,7145895
2025-01-24,99.23,101.44,96.26,96.62,3038098
2025-01-27,84.6,86,74.89,76.29,8227777
2025-01-28,79.02,81.19,77.2,80.045,4677324
2025-01-29,80.94,82.3986,80.27,81.36,2279250
2025-01-30,83.97,86.54,83.2422,84.65,2449059
2025-01-31,85.23,87.56,84.77,87.14,2354721
2025-02-03,83.41,85.98,81.65,85.12,2149795
2025-02-04,85.4,87.91,85.22,87.5,2299890
2025-02-05,88.58,92.39,88.005,92.08,2614575
2025-02-06,93.31,94.79,91.59,93.12,2937202
2025-02-07,93.23,94.2043,89.41,89.71,1765426
2025-02-10,90.13,91.49,89.175,90.11,1357827
2025-02-11,89,89.54,87.15,87.49,1386450
2025-02-12,84,88.81,83.645,88.8,1844538
2025-02-13,90,90.32,88.09,88.85,1535404
2025-02-14,88.48,90.01,88.01,89.8,1518319
2025-02-18,90.16,92.43,88.4,89.65,2023254
2025-02-19,88.45,89.15,86.37,87.05,1993774
2025-02-20,86.81,87.55,85.18,86.45,2628161
2025-02-21,86.7,87.99,83.585,84.08,1885006
2025-02-24,83.9,84.075,79.94,80.43,3203342
2025-02-25,79.83,81.8299,75.88,78.29,2436820
2025-02-26,80.88,82.1,79.62,80.77,2192862
2025-02-27,82.21,82.25,77.785,78.03,1698343
2025-02-28,77.27,79.66,75.61,79.57,3393298
2025-03-03,79.5,80.55,73.42,74.69,3579083
2025-03-04,72.9,75.74,70.475,74.31,3295940
2025-03-05,73.85,75.32,72.755,75.25,1816658
2025-03-06,72.24,72.97,67.995,68.43,3100913
2025-03-07,68.63,69.07,64.65,68.93,3327359
2025-03-10,65.83,66.92,64.01,65.53,4183527
2025-03-11,61.78,66.48,59.31,63.95,8388245
2025-03-12,66.21,67.17,64.26,66.4,3288380
2025-03-13,65.75,66.11,60.77,62.31,2964584
2025-03-14,64.05,64.68,62.64,63.84,3305826
2025-03-17,63.36,66.26,63.36,65.68,2109662
2025-03-18,64.83,65.285,63.65,64.33,1672495
2025-03-19,64.67,66.72,64.235,65.9,1658221
2025-03-20,64.99,66.7499,64.99,65.63,1130934
2025-03-21,64.6,65.6199,63.74,65.56,2539036
2025-03-24,69.08,69.68,67.5,69.53,1644029
2025-03-25,69.28,70.57,69,69.42,1966016
2025-03-26,69.1,69.56,65.26,65.76,2278967
2025-03-27,64.81,65.64,62.49,62.86,3517960
2025-03-28,62.65,63.31,61,61.56,2157726
2025-03-31,59.68,60.65,58.04,60.43,3553649
2025-04-01,60.51,61.58,59.16,61.54,2018317
2025-04-02,59.99,66.77,59.99,65.03,3700012
2025-04-03,59.61,61.28,56.07,56.19,2391599
2025-04-04,52.76,54.43,49.21,53.5,5780365
2025-04-07,50.17,58.79,50.15,55.22,3083242
2025-04-08,57.49,59.18,52.98,54.03,2563326
2025-04-09,53.65,63.69,53.18,61.99,3358139
2025-04-10,59.59,60.64,56.37,58.36,1911942
2025-04-11,57.86,59.595,56.75,58.78,2033108
2025-04-14,61.22,61.86,58.18,58.5,1273756
2025-04-15,58.51,60.225,58.3401,59.38,1232700
2025-04-16,57.54,59.91,57.54,58.87,1003845
2025-04-17,59.75,60.67,58.76,60.14,1959447
2025-04-21,59.01,59.4352,56.94,57.84,1142112
2025-04-22,58.64,60.1,58.64,59.5,1201075
2025-04-23,63.77,66.68,62.31,62.57,2672186
2025-04-24,62.74,64.98,62.42,64.29,984715
2025-04-25,64.2,66.035,63.985,65.94,1600991
2025-04-28,65.41,67.49,65.41,66.48,1696808
2025-04-29,66.36,67.555,66.19,67.36,1264931
2025-04-30,65.06,67.26,64.705,67.16,1739132
2025-05-01,69.5,72.73,69.06,71.43,3039417
2025-05-02,72.23,73.85,72.23,72.85,1854237
2025-05-05,71.68,73.93,71.3,72.91,1375564
2025-05-06,70.9,73.11,70.667,72.66,1158903
2025-05-07,72.63,73.85,71.9,73.34,1710880
2025-05-08,74.47,75.68,73.685,74.78,1581285
2025-05-09,75.38,75.81,73.71,74.74,882241
2025-05-12,78.58,79.6723,77.16,79.01,1514686
2025-05-13,79.05,81.41,78.625,80.59,1438609
2025-05-14,80.98,81.48,78.84,79.53,1876317
2025-05-15,78.67,80.5611,78.46,79.8,1405950
2025-05-16,80.08,81.3,79.445,81.24,1271816
2025-05-19,79.5,81.339,79.0001,80.99,761832
2025-05-20,80.9,81.09,80.26,81.05,761586
2025-05-21,79.93,82.21,79.6,79.92,1249013
2025-05-22,80.18,81.25,79.665,80.12,929164
2025-05-23,78.01,80.53,77.14,80.22,705328
2025-05-27,83.13,83.49,81.67,82.35,1354091
2025-05-28,82.65,83.05,81.86,82.7,1301109
2025-05-29,83.19,83.4,81.44,81.55,1122030
2025-05-30,80.14,80.665,78.45,80.06,2302904
2025-06-02,80.15,81.75,79.27,81.75,2591345
2025-06-03,82.42,83.34,81.05,83.26,2690754
2025-06-04,84.67,86.21,83.24,83.89,4094893
2025-06-05,76.85,79.51,70.77,73.05,11621308
2025-06-06,73.88,74.44,71.75,72.72,3207199
2025-06-09,73.03,74.62,71.7,72.46,3397530
2025-06-10,72.73,73.1,70.85,72.44,3878773
2025-06-11,72.95,73.25,71.52,72.22,2769232
2025-06-12,71.52,74.2,71.52,74.13,2160924
2025-06-13,72.72,73.67,71.72,72.16,1845237
2025-06-16,72.6,74.93,72.5559,73.76,1854400
2025-06-17,73.02,74.55,72.96,73.45,1566453
2025-06-18,74.14,74.75,73.23,73.82,1496917
2025-06-20,74.43,75.56,73.96,74.53,2813684
2025-06-23,73.96,75.72,73.55,75.44,2061647
2025-06-24,77,79.87,76.06,79.35,2945273
2025-06-25,79.75,80.24,78.35,79.43,1821743
2025-06-26,80.06,82.45,79.786,81.51,3138911
2025-06-27,81.93,82.41,80.7001,82.12,3397430
2025-06-30,82.94,83.28,81.25,81.33,1822869
