time_key,open,high,low,close,volume
2024-10-24,98.13,99.2199,96,96.71,1639812
2024-10-25,97.47,97.47,94.7,95.84,2055400
2024-10-28,97.03,97.2807,95.36,96.38,1525397
2024-10-29,96.21,99.21,96.15,98.53,1721251
2024-10-30,97.15,98.12,95.58,97.18,1515898
2024-10-31,96,96,90.806,92.44,3253944
2024-11-01,93.15,94.74,91.97,92.28,2113372
2024-11-04,92.3,93.39,90.85,90.91,1536501
2024-11-05,91.63,94.035,91.495,93.57,2405518
2024-11-06,95.79,100.09,95.54,99.43,5275831
2024-11-07,103,110.272,96.16,109.45,6448904
2024-11-08,108.71,111.66,105.13,110.02,4542646
2024-11-11,110.05,110.41,102.51,104.67,3226726
2024-11-12,103.97,106.914,102.82,104,2132286
2024-11-13,104.46,105.86,101.76,102.71,2033269
2024-11-14,103.18,103.95,99.3,100.01,1631822
2024-11-15,98.97,99,91.85,95.11,4122422
2024-11-18,96.1,98.19,94.56,95.35,2061173
2024-11-19,94.23,104.31,93.5,104.25,2923696
2024-11-20,101.89,103.94,100.3201,103.38,1594325
2024-11-21,105.57,109.88,105.06,105.72,2794176
2024-11-22,105.72,106.31,103.87,105.34,1962608
2024-11-25,104.5,105.2,99.18,99.8,3353560
2024-11-26,102.03,102.9,99.64,101.04,2610110
2024-11-27,100,101.255,95.43,98.09,2506419
2024-11-29,99.62,101.18,98.8651,100.16,1120967
2024-12-02,100.59,104.2899,100.59,103.62,1844009
2024-12-03,104.16,107.16,103.8,106.54,1751132
2024-12-04,108.94,113.6,108.94,112.02,2942346
2024-12-05,112,112.78,108.21,108.66,2127639
2024-12-06,109.21,112.35,108.77,111.24,2286826
2024-12-09,111.31,112.97,103.52,103.95,2948642
2024-12-10,104.07,104.93,99.29,100.21,2676649
2024-12-11,102.06,104.86,101.5,103.84,1644722
2024-12-12,104.42,107.58,103.37,104.08,1723495
2024-12-13,107.595,108.17,103.56,106.64,2093491
2024-12-16,106.55,109.43,104.51,107.85,2277951
2024-12-17,106.41,106.76,101.23,103.29,2576114
2024-12-18,104.78,105.45,95.9,97.33,2539167
2024-12-19,99.35,100.88,95,96.18,2437471
2024-12-20,95,99.03,94.0913,97.67,4915340
2024-12-23,100.25,100.91,98.0901,99.02,1245477
2024-12-24,99.38,100.17,98.63,99.78,625617
2024-12-26,99.27,100.4,97.4807,99.6,871999
2024-12-27,98.52,98.79,95.92,96.99,1107170
2024-12-30,93.8,95.73,92.4,94.84,2299729
2024-12-31,94.58,95.73,93.71,94.73,1378248
2025-01-02,95.87,102.1,94.58,100.59,2828080
2025-01-03,102.72,106.75,101.31,106.24,2946149
2025-01-06,108.78,109.05,100.68,100.96,3239508
2025-01-07,101.02,101.81,96.21,97.43,4034535
2025-01-08,97.15,97.745,92.52,93.66,2574281
2025-01-10,91.42,91.42,88.1,89.87,4845734
2025-01-13,87.5,92.52,86.28,92.05,3660475
2025-01-14,93.08,95.11,92.08,93,2836817
2025-01-15,96.47,97.2,94.78,96.45,2009704
2025-01-16,97.78,98.68,95.63,95.67,1477595
2025-01-17,97.72,99.17,96.29,98.29,2327697
2025-01-21,100,104.12,96.88,103.2,3019484
2025-01-22,106.83,110.73,105.63,107.96,3149017
2025-01-23,105.78,108.81,104.5315,107.76,2208771
2025-01-24,108.65,108.7,100,100.33,3182667
2025-01-27,88,90,75.6,81.32,12873586
2025-01-28,83.7,84.31,78.61,82.49,5106858
2025-01-29,84.47,87.21,83.6,85.58,5357747
2025-01-30,88.4,91.58,87.32,89.68,3892757
2025-01-31,91,94.81,89.6209,90.49,3126441
2025-02-03,84.43,89.3692,84.11,87.5,3046811
2025-02-04,86.29,88.44,85.85,87.74,3554478
2025-02-05,88.61,92.76,88.03,90.1,7404907
2025-02-06,103.25,107.37,98.7,100.46,9121617
2025-02-07,101.07,101.46,94,95.89,5632792
2025-02-10,97.92,98.18,91.07,93.66,4463680
2025-02-11,91.67,92.45,87.33,87.5,3711838
2025-02-12,85,89.5,84.7504,87.3,2661945
2025-02-13,87.35,88.24,83.63,86.46,3232930
2025-02-14,86.8,87.36,84.28,86.8,3420089
2025-02-18,88,90.2,86.92,88.68,2929497
2025-02-19,88.21,88.2999,85.88,86.38,2300930
2025-02-20,86.37,86.66,82.21,86.24,2817974
2025-02-21,87,87.99,82.03,82.64,2571033
2025-02-24,83.31,84.0486,79.21,80.22,2486786
2025-02-25,79.09,80,74.41,76.13,6111293
2025-02-26,78.52,80.75,78,78.4,4183360
2025-02-27,81.25,82.15,74.82,74.92,4011121
2025-02-28,74,76.17,72.58,75.19,3617104
2025-03-03,76,76.72,67.7,68.27,5134313
2025-03-04,66.38,72.09,64.75,69.57,5901467
2025-03-05,69.75,72.41,69.405,71.84,3864892
2025-03-06,68.32,69.74,64.83,65.04,4692710
2025-03-07,65.54,66.89,61,66.54,6248512
2025-03-10,62.52,64.22,61.2751,62.81,4178564
2025-03-11,63.37,68.27,63.1,66.48,4680117
2025-03-12,68.965,69.95,65.615,67.32,4343358
2025-03-13,65.17,66.27,60.39,62.4,5164133
2025-03-14,62.59,64.82,61.48,64.3,4247796
2025-03-17,64.41,67.51,64.09,66.99,5802271
2025-03-18,66.49,67.3,63.58,65.38,3603254
2025-03-19,66.35,71.56,66.015,69.77,5184028
2025-03-20,68.38,70.71,68.27,68.71,1859820
2025-03-21,67.1,68.69,66.2,68.24,2656411
2025-03-24,72.33,77.08,71.96,76.71,4893532
2025-03-25,75.86,76.69,73.85,75.64,2932397
2025-03-26,75.45,76.5,70.43,71.49,3580153
2025-03-27,69.24,70.0399,67.12,67.9,4051408
2025-03-28,66.88,68.4,64.87,65.73,2425773
2025-03-31,63.4,65.25,61.17,64.94,2771997
2025-04-01,64.61,65.28,62.04,63.7,3550483
2025-04-02,62.51,69.59,62.51,67.54,4660688
2025-04-03,61.5,62.275,52.93,53.91,11397418
2025-04-04,52.15,52.34,45.58,50.58,10607714
2025-04-07,49,57.5,47.706,52.83,6365204
2025-04-08,56.32,57.725,50.05,51.39,4303073
2025-04-09,51.02,65.65,50.892,63.04,8073757
2025-04-10,59.81,60.32,53.613,55.44,5030356
2025-04-11,54.885,55.78,53.3531,55.2,3869690
2025-04-14,58.85,59.5,54.9028,56.14,2210459
2025-04-15,55.92,57.69,55.9,56.54,4292573
2025-04-16,53.8,56.21,53.5,55.45,2910962
2025-04-17,55.72,56.55,54.51,55.29,1791422
2025-04-21,53.65,54.0682,50.81,52.12,2728002
2025-04-22,52.98,55.9,52.98,55.13,2794800
2025-04-23,60.92,63.71,58.82,59.34,3576834
2025-04-24,60.31,64,60.255,63.51,3126674
2025-04-25,63.02,65.6393,62.89,64.49,1985616
2025-04-28,64.82,65.9,63.42,64.81,2063165
2025-04-29,64.54,65.63,64.19,64.84,1573091
2025-04-30,61.46,64.48,61.054,64.32,2530542
2025-05-01,67.9,70.94,67.675,69.17,5171186
2025-05-02,70.58,73.05,70.5,71.64,3342422
2025-05-05,70.505,72.56,70.0312,70.95,3153163
2025-05-06,68.01,70.38,66.71,69.79,2840359
2025-05-07,70.1,70.57,67.3,69.62,4432005
2025-05-08,72.89,72.89,67.5,70.59,6311231
2025-05-09,70.74,73.28,69.87,70.57,3409028
2025-05-12,76.84,78.5,75.23,77.77,4661054
2025-05-13,77.94,80.11,77.7,78.9,6198426
2025-05-14,79.52,80.93,78.21,80.7,3767892
2025-05-15,78.83,80.25,78.31,78.82,2127210
2025-05-16,78.85,79.42,77.99,78.6,2712469
2025-05-19,75.81,79.46,75.2587,79.38,2352056
2025-05-20,78.92,80.19,78.17,79.45,2088538
2025-05-21,80.45,83.405,78.87,79.56,3574376
2025-05-22,78.94,80.92,78.395,78.88,2222372
2025-05-23,76.15,78.71,75.33,78.46,2309448
2025-05-27,80.5,82.96,79.2,81.19,4104502
2025-05-28,83,83.545,77.75,78.25,4536405
2025-05-29,81.87,82.38,79.14,79.52,3934617
2025-05-30,77.22,78.22,73.66,75.63,3714677
2025-06-02,75.74,76.87,73.85,76.78,2548243
