time_key,open,high,low,close,volume
2024-10-24,302.11,305.907,301,304.47,1980863
2024-10-25,305.22,311.3499,295.13,300.62,6045774
2024-10-28,301.145,305,295.31,301.32,3464812
2024-10-29,303.24,313.15,300.4,310.94,3454798
2024-10-30,311.5,315.476,307.135,307.45,2083756
2024-10-31,306.12,307.405,294.68,296.87,3475702
2024-11-01,296.79,304.3802,295.71,303.13,2975940
2024-11-04,300.52,302.93,295.08,298.88,2321877
2024-11-05,300,308.89,298.617,307.58,2259972
2024-11-06,317.17,324.664,316.7501,320,4227701
2024-11-07,322.5,333.2199,320.4512,330.78,3575191
2024-11-08,330.55,333.15,323.24,330.03,2845710
2024-11-11,334,342.79,331.88,342.42,3345408
2024-11-12,339.81,343.89,336.5254,343.5,3183733
2024-11-13,345.6,359.45,344.09,347.88,4745735
2024-11-14,347.89,351.09,343.53,344.36,2582053
2024-11-15,340.4,343.01,332.75,336.75,3460547
2024-11-18,339.97,347.3,336.7501,342.97,2386916
2024-11-19,341.54,354.34,338.5294,353.29,3169518
2024-11-20,357.31,357.31,344.4664,350.15,2499882
2024-11-21,354.5,362.3999,351.5,357.55,4553885
2024-11-22,359.68,372.56,357.95,372.26,3442549
2024-11-25,375,377.42,360.78,363.68,5022833
2024-11-26,363,367.35,359.25,364.3,6951313
2024-11-27,359.22,359.22,340.52,347.59,10807689
2024-11-29,349.5,350.16,344.72,345.97,2425516
2024-12-02,344.9,354.34,336.56,346.8,5465262
2024-12-03,345,351.95,343.4,349.95,3581893
2024-12-04,353.1,366.44,348.5,364.16,5063900
2024-12-05,361.2,366.25,358.6,364.84,3191231
2024-12-06,364,371.27,360.99,365.65,3238116
2024-12-09,365.65,366.59,351.77,353.6,2852556
2024-12-10,353.6,357.26,344.6,346.775,2419344
2024-12-11,348.19,364.9,348.19,362.97,3528865
2024-12-12,360.47,365.84,357.55,365.5,2189780
2024-12-13,366,370.29,361.52,368.02,3119049
2024-12-16,368.76,389,364.89,388.2,5181794
2024-12-17,386.75,388,373.24,376.42,3889972
2024-12-18,376.42,379.1816,345.466,349.18,4824419
2024-12-19,364.93,365,349.75,351.03,4375857
2024-12-20,347,365.44,345.05,362.29,5221067
2024-12-23,358.49,365.73,354.23,361.5,2752298
2024-12-24,361.07,366,359.26,365.79,1289659
2024-12-26,365.75,366.64,361.9401,365.08,1232424
2024-12-27,361.15,361.9199,349.85,354.99,3345360
2024-12-30,347.61,352.875,344.34,349.31,2465392
2024-12-31,351.86,351.86,339.72,342.16,2237245
2025-01-02,346.52,350.5,341.0366,347.34,2716738
2025-01-03,349.23,359.6899,348,359.02,2663914
2025-01-06,362.5,368.39,356.03,366.36,2899168
