time_key,open,high,low,close,volume
2024-10-24,120.61,121.39,119.36,120.57,3638107
2024-10-25,121.9,124.79,121.75,122.55,4040156
2024-10-28,123,123.61,120.55,120.66,3582942
2024-10-29,120.68,122.54,120.1,121.63,3909752
2024-10-30,130.99,133.9699,125.44,129.4,17073703
2024-10-31,127,127.585,122.59,123.63,7312424
2024-11-01,124.625,132.62,124.3,130.87,13048446
2024-11-04,132.82,135.71,129.7,129.85,10608792
2024-11-05,131,134.28,129.75,133.46,6998599
2024-11-06,137.39,139.6,134.32,138.35,8857948
2024-11-07,138.945,139.4158,136.02,137.87,6297479
2024-11-08,138.22,139.15,134.08,134.23,6325400
2024-11-11,138.47,140.745,135,138.51,7210941
2024-11-12,138.75,141.33,135.94,136.47,6667818
2024-11-13,137.76,139.04,134.47,134.53,4701399
2024-11-14,135.88,136.91,133.3301,134.43,3510654
2024-11-15,133.29,133.87,130.75,131.64,5010102
2024-11-18,136.16,138,134.4689,136.01,6620991
2024-11-19,133.85,136.24,132.2352,135.9,5767480
2024-11-20,137.52,138.17,132.54,133.96,4814244
2024-11-21,136.14,140.1399,134.45,138.92,6619719
2024-11-22,142.5,144.5,140.5,144.21,7688618
2024-11-25,147.4,147.66,142.63,144.16,12208161
2024-11-26,144,144.4299,141.21,141.74,12796248
2024-11-27,124.92,127.16,121.3,124.38,38089688
2024-11-29,125.3,128.47,124.99,127.59,9534508
2024-12-02,126.19,129.65,123.28,125.84,13328005
2024-12-03,125.16,126.02,124.175,125.56,6989907
2024-12-04,125.25,127.33,123.92,126.1,6264548
2024-12-05,126.56,128.68,125.04,125.07,8115782
2024-12-06,125.62,126.3136,122.75,123.4,10464351
2024-12-09,122.84,124.2,121.1,123.81,8318589
2024-12-10,123.15,123.24,116.55,116.79,12659524
2024-12-11,117.8,119.18,115.6,118.69,8156109
2024-12-12,117.51,120.4,117.3366,119.18,5403795
2024-12-13,120.38,121.27,116.52,118.45,5941904
2024-12-16,118.86,122.09,118.45,119.27,6730489
2024-12-17,118.2,120.2,117.89,118.28,5166312
2024-12-18,119.53,119.99,111.9303,112.67,7336887
2024-12-19,114.23,115.51,111.28,111.96,9248377
2024-12-20,110.17,116.46,110.17,115.77,12228156
2024-12-23,116.52,119.139,116.2608,118.82,5324214
2024-12-24,119,119.42,118.18,118.94,2077431
2024-12-26,118.42,119.88,118.23,119.28,2744871
2024-12-27,118.37,118.89,116.51,117.33,4881875
2024-12-30,115.31,115.92,112.6207,114.82,5517940
2024-12-31,115.33,116.09,114.1579,115.24,3874670
2025-01-02,115.26,117.4583,113.53,116.53,4580909
2025-01-03,117.39,120.82,117.37,119.91,5601022
2025-01-06,121.81,125.01,121.21,124.66,8361847
2025-01-07,125.58,125.77,120.95,121.27,6081910
2025-01-08,119.98,120.61,117.75,119.31,5137723
2025-01-10,117.92,117.985,114.59,114.77,8213353
2025-01-13,110.01,110.56,106.69,110.17,11518132
2025-01-14,111.3,111.805,107.2028,109.06,8366186
2025-01-15,112,112,108.04,109.23,9106148
2025-01-16,109,111.36,108.415,110.11,6073456
2025-01-17,111.75,111.76,109.54,109.64,6344472
2025-01-21,110.425,112.38,107.91,111.55,8635963
2025-01-22,116.85,120.965,114.94,115.12,12846400
2025-01-23,112.7,114.7,111.96,114.22,5864066
2025-01-24,114.81,116.79,112.77,113.73,5500019
2025-01-27,106.61,107.73,100.0388,103.84,17922259
2025-01-28,104.13,104.13,100.5,101.29,15042675
2025-01-29,102,103.86,101.47,103.1,8362610
2025-01-30,103.31,105.96,103.3,105.35,7952735
2025-01-31,106.33,107.24,103.53,103.6,6088844
2025-02-03,99.38,101.01,98.365,100.09,12114300
2025-02-04,100.24,102.46,99.81,101.67,7241445
2025-02-05,102.58,105.7,101.19,104.45,7901794
2025-02-06,104.97,107.25,104.73,105.92,5017384
2025-02-07,107.52,109.35,105.9701,106.37,7997277
2025-02-10,107.35,112.81,107.35,112.31,9084111
2025-02-11,110.24,112.07,109.85,111.44,4397056
2025-02-12,110.05,114,110,112.92,5423724
2025-02-13,111.09,111.75,108.74,110.26,6806235
2025-02-14,111.04,117.16,109.71,114.38,16971706
2025-02-18,116.51,120.92,116.26,120.34,13510027
2025-02-19,118.81,122.26,118.25,120.96,6728608
2025-02-20,120.5,121.21,116.7729,119.89,5480404
2025-02-21,120.85,121.29,117.2904,117.6,5662294
2025-02-24,116.11,116.36,111.0301,114.14,7327788
2025-02-25,113.5,114.11,109.66,110.65,6582053
2025-02-26,111.8,117.28,111.8,115.65,8657995
2025-02-27,117,117.45,107.43,107.83,15737173
2025-02-28,100.96,103.9,99,102.76,20366155
2025-03-03,103.64,103.77,94.51,95.56,13096845
2025-03-04,93,96.8531,92.41,94.07,12789368
2025-03-05,94.65,97.88,93.21,97.25,6059440
2025-03-06,94.25,95.855,92.92,93.02,8560539
2025-03-07,91.715,92.66,88.3301,91.46,10162084
2025-03-10,89,91.77,88.69,90.34,8384863
2025-03-11,90.54,92.8699,90.08,91.57,6282338
2025-03-12,94.66,95.98,93.17,94.58,7873046
2025-03-13,93.95,94.86,91.55,92.45,4543443
2025-03-14,94.6,97.2987,94.4,95.67,5933435
2025-03-17,97.53,98.82,96.66,97.66,5283185
2025-03-18,96.92,97.2,94.77,96.44,5791995
2025-03-19,97,100.43,96.845,98.72,5460052
2025-03-20,97.96,101.42,97.9,98.92,4924513
2025-03-21,98.08,98.42,96.4019,97.57,8911079
2025-03-24,100,101.52,99.29,99.81,6491786
2025-03-25,100.31,101.3,98.5101,98.86,4807330
2025-03-26,98.74,100.5519,95.6,96.26,5814156
2025-03-27,95.02,98.37,93.6,97.1,7537769
2025-03-28,94.38,95.56,91.51,92.29,7225203
2025-03-31,89.27,91.21,88.4,91.15,7286218
2025-04-01,91.28,92.8,89.71,91.96,5716711
2025-04-02,89.97,95.72,89.83,95.33,6245790
2025-04-03,85.75,86.2099,76.721,77.23,30868525
2025-04-04,74.66,74.94,69.421,71.63,17449146
2025-04-07,68,77.3,66.245,75,15538442
2025-04-08,77.5,79.46,71,72.59,12924067
2025-04-09,72.56,85.47,71.12,84.19,18159954
2025-04-10,80.2,81.025,75.94,78.94,11279260
2025-04-11,78.6,82.92,77.96,81.93,8667626
2025-04-14,89.29,89.29,84.01,85.19,12355193
2025-04-15,84.62,86.8975,84.3205,85.49,5728840
2025-04-16,82.805,85.3,81.68,83.36,5842293
2025-04-17,83.875,85.42,82.9,84.8,6238336
2025-04-21,83.381,84.36,80.74,82.39,5595271
2025-04-22,82.9,85.39,82.46,84.08,4471564
2025-04-23,89.075,91.89,88.59,89.16,8413053
2025-04-24,89.88,94.675,89.44,94.4,6367166
2025-04-25,94.455,95.45,93.94,94.89,4466690
2025-04-28,94.57,95.64,93.11,94.47,3920233
2025-04-29,93.66,94.56,93.11,93.78,4474033
2025-04-30,86.82,92.09,86.76,91.76,9891218
2025-05-01,93.57,95.2,91.79,91.95,6333050
2025-05-02,94.23,95.84,93.84,94.59,5970475
2025-05-05,93.9,95.637,93.525,94.36,4937957
2025-05-06,92.66,94.73,92.53,93.95,5015423
2025-05-07,93.86,96.04,92.8807,95.79,5215633
2025-05-08,97.44,97.48,95.675,96.22,4575909
2025-05-09,97.45,97.94,95.64,95.91,4367390
2025-05-12,101,104.08,101,103.42,7927699
2025-05-13,103.89,108.5,103.89,107.85,7063523
2025-05-14,109.5,111.75,109.5,111.02,7639089
2025-05-15,108.95,111.505,108.5736,110.87,4488787
2025-05-16,111.5,114.6,111.09,114.19,5466640
2025-05-19,111.42,115.07,111.42,114.28,4594717
2025-05-20,113.96,115.5,113.1901,114.23,4150630
2025-05-21,113.54,116.13,111.56,111.93,5859850
2025-05-22,112.3999,112.98,110.66,111.95,4013723
2025-05-23,109.67,112.685,108.81,112.11,3916881
2025-05-27,114.48,115.0547,113.19,113.99,5512085
2025-05-28,114.15,115.29,113.31,113.77,4618411
2025-05-29,115.19,115.46,111.3,113.63,14682692
2025-05-30,112.48,116.97,109.2,111.27,19208004
2025-06-02,110.99,111.67,106.38,108.08,9027602
2025-06-03,108.5,112.44,108.01,111.9,6643941
2025-06-04,112.87,114.25,111.3028,112.7,4536209
2025-06-05,113,114.22,111.18,111.82,5454944
2025-06-06,112.83,115.24,112.83,113.75,4037456
2025-06-09,114.51,116.63,114.21,114.22,5123656
2025-06-10,114.8,115.05,111.7607,113.25,8661402
2025-06-11,114.4,114.45,110.91,111.24,5436451
2025-06-12,112.02,113.515,110.57,113.4,5597707
2025-06-13,111.35,111.75,109.17,109.56,5137534
2025-06-16,111.24,114.365,111,113.74,5292302
2025-06-17,112.79,117.71,112.68,115.93,5968230
2025-06-18,115.61,118.82,115.55,116.56,4671234
2025-06-20,118.32,119.75,117.6231,119.37,9568390
2025-06-23,118.85,119.38,115.96,118.02,5987393
2025-06-24,119.795,121.83,119.16,120.59,5034451
2025-06-25,120.81,122.3,120.25,120.46,3977595
2025-06-26,122.7,127.145,122.265,125.98,9434781
2025-06-27,123.78,125.06,122.52,123.99,7362045
2025-06-30,124.16,124.49,122.13,122.6,5427012
