time_key,open,high,low,close,volume
2024-10-24,104.33,104.645,102.7815,103.66,1463736
2024-10-25,103.86,106.21,103.86,105.01,1734232
2024-10-28,105.81,106.77,105.12,105.95,1892363
2024-10-29,106,109.11,105.03,108.71,1377698
2024-10-30,106,108.5,105.97,106.91,2114464
2024-10-31,107.5,107.5,103.13,104.71,2590076
2024-11-01,105.15,108.14,104.77,107.05,2099671
2024-11-04,96.49,102.82,94.924,100.98,3278486
2024-11-05,101.01,103.18,100.25,103.12,2788988
2024-11-06,105.25,107.69,104.165,105.07,3388940
2024-11-07,106.94,108.43,106.04,108.21,2185374
2024-11-08,106.21,107.5,104.46,105.03,2077385
2024-11-11,103.93,104.38,101.89,104.3,2202696
2024-11-12,102.75,106.815,102.7,106.33,4970228
2024-11-13,105.35,107.05,103.84,105.12,2821580
2024-11-14,106.65,106.73,100.93,101.5,2743674
2024-11-15,100.25,100.99,97.61,97.67,3821839
2024-11-18,97.32,99.955,96.39,99.55,2533097
2024-11-19,98.77,99.92,97.895,99.43,1577285
2024-11-20,98.88,100.04,97.776,99.96,1178345
2024-11-21,101.3,105.84,100.89,105.24,3473917
2024-11-22,105,107.32,104.89,107.24,2512379
2024-11-25,109.79,109.865,107.725,108.02,2505288
2024-11-26,108.34,108.53,103.44,105.52,2092450
2024-11-27,105.55,106.37,102.96,104.96,1582554
2024-11-29,106.39,107.6,105.085,105.63,1077531
2024-12-02,105.5,109.89,105.33,108.83,1675680
2024-12-03,106.77,108.985,106.77,108.17,1275052
2024-12-04,110,110.9,108.42,110.1,2015265
2024-12-05,109.575,110.1,106.93,107.1,1629761
2024-12-06,107.91,109.52,107.225,109.4,1279393
2024-12-09,108.84,111.54,107.41,110.51,1585276
2024-12-10,110.83,110.83,105.35,106.13,2016418
2024-12-11,108.21,110.24,106.5301,109.07,2026608
2024-12-12,107.87,110.035,107,107.3,1526975
2024-12-13,107.84,108.87,105.03,106.66,2238402
2024-12-16,105.98,107.93,104.47,106.71,1380117
2024-12-17,106.26,109.54,105.06,109.36,1526486
2024-12-18,109.95,112.36,101.75,102.23,3165558
2024-12-19,102.15,102.89,97.84,97.91,2847559
2024-12-20,97.2,101,96.8,99.46,4081785
2024-12-23,99.98,102.9099,99.87,102.28,1998048
2024-12-24,102.21,103.25,100.73,102.85,617290
2024-12-26,101.65,103.75,101.56,102.23,1060708
2024-12-27,102,102.9,100.54,101.77,959598
2024-12-30,100.07,100.165,97.95,99.54,3022103
2024-12-31,100.14,100.505,97.8,99.06,1153128
