time_key,open,high,low,close,volume
2024-10-24,47.99,48.2,46.65,46.84,10171720
2024-10-25,47,47.2,46.515,46.6,8528919
2024-10-28,46.86,46.97,46.53,46.73,6446415
2024-10-29,47.49,47.56,46.53,46.57,8471919
2024-10-30,46.28,46.35,45.565,45.97,9017135
2024-10-31,45.41,45.57,44.715,45.02,9481378
2024-11-01,45.6,46.17,45.3,45.59,7733517
2024-11-04,45.97,46.725,45.6269,46.27,9147844
2024-11-05,46.87,47,46.42,46.99,5991473
2024-11-06,45.28,47.225,44.92,46.87,12911738
2024-11-07,48.24,49.21,48.19,48.58,12733385
2024-11-08,46.52,46.9,45.475,46.36,16197353
2024-11-11,45.54,45.63,44.715,44.9,12737228
2024-11-12,43.98,44.12,42.92,43.6,18145254
2024-11-13,43.75,43.872,43.09,43.12,11931876
2024-11-14,43.47,43.57,42.71,43.27,11905728
2024-11-15,43.5,43.82,42,42.7,12902502
2024-11-18,43.035,43.65,42.555,43.55,11887843
2024-11-19,43.55,44.2,43.1301,44.12,12764425
2024-11-20,44,44.145,43.4,43.7,8733831
2024-11-21,43.77,44.11,43.26,43.76,8872131
2024-11-22,43.68,43.76,43.37,43.72,9109792
2024-11-25,43.85,44.61,43.85,44.38,13286781
2024-11-26,43.96,44.08,43.12,43.48,11820979
2024-11-27,43.61,44.23,43.51,43.76,7050424
2024-11-29,43.62,44.52,43.57,44.2,6512473
2024-12-02,44.19,44.39,42.66,43.64,14413035
2024-12-03,44.66,44.83,43.545,43.83,12218846
2024-12-04,43.93,44.24,42.81,43.04,18548231
2024-12-05,43.12,43.3485,42.45,42.79,11873569
2024-12-06,43.07,43.07,42.03,42.07,9471072
2024-12-09,43.75,44.75,43.69,43.73,18310002
2024-12-10,43.54,43.72,42.59,42.67,10835510
2024-12-11,42.805,43.115,42.4,43,7338962
2024-12-12,42.6,42.73,41.975,42.08,10184737
2024-12-13,41.73,41.785,41.1,41.59,9669335
2024-12-16,41.288,41.52,40.5,40.74,10232786
2024-12-17,40.15,40.79,40.07,40.62,11734125
2024-12-18,40.43,40.62,38.57,38.71,12500970
2024-12-19,38.74,39.22,37.665,38.24,15766453
2024-12-20,37.98,39.29,37.96,38.86,22372318
2024-12-23,38.92,39.34,38.555,39.25,8562506
2024-12-24,39.37,39.39,38.81,39.22,3962496
2024-12-26,39.04,39.32,38.92,39.19,6127846
2024-12-27,38.9,39.18,38.56,38.86,7892478
2024-12-30,38.42,38.48,37.745,38.16,11047289
2024-12-31,38.12,38.47,37.96,38.08,9246978
2025-01-02,38.39,38.78,37.811,37.88,8791475
2025-01-03,38,38.19,37.185,37.71,10155209
2025-01-06,38.83,39.76,38.51,38.57,18974389
2025-01-07,38.83,39.1688,38.4058,38.74,15304645
2025-01-08,38.76,39.825,38.31,39.74,15588975
2025-01-10,40.5,40.64,38.73,38.98,11971121
2025-01-13,38.65,39.6,38.62,39.41,10418057
2025-01-14,39.71,39.835,39.04,39.5,9801890
2025-01-15,40.445,40.45,39.52,40.03,10618044
2025-01-16,40.19,40.41,39.575,40.03,11793991
2025-01-17,40.09,40.81,39.87,40.22,12045611
2025-01-21,40.76,40.94,39.86,40.3,16558028
2025-01-22,40.44,40.5,39.02,39.09,15882676
2025-01-23,38.11,38.7,36.46,38.5,30475404
2025-01-24,38.73,38.88,37.455,37.81,19076373
2025-01-27,37.215,37.215,36.58,36.67,18550521
2025-01-28,36.88,37,35.46,35.84,16842913
2025-01-29,35.98,36.84,35.94,36.28,12599851
2025-01-30,36.67,36.815,36.07,36.64,11821922
2025-01-31,36.36,36.64,35.685,35.85,13387259
2025-02-03,35.365,36.135,34.8901,35.86,15940389
2025-02-04,36.0301,36.995,36.0301,36.48,14490622
2025-02-05,36.27,37.01,35.97,36.68,14888320
2025-02-06,37.54,37.94,36.775,37.15,13748219
2025-02-07,38.49,39.19,37.87,38.22,21531973
2025-02-10,38.88,38.91,38.4,38.46,16243406
2025-02-11,37.705,38.22,37.45,37.59,13957929
2025-02-12,37.67,38.44,37.46,37.96,10946485
2025-02-13,38.69,40.35,38.48,40.22,21444676
2025-02-14,40.53,40.8,39.28,39.47,17559189
2025-02-18,39.48,39.52,38.605,39.3,12261346
2025-02-19,38.95,38.96,38.19,38.57,12101232
2025-02-20,38.94,39.63,38.59,38.96,11471980
2025-02-21,38.95,38.95,36.835,36.98,16151103
2025-02-24,37.19,37.44,36.94,37.11,8418379
2025-02-25,37.19,37.23,36.02,36.76,10618881
2025-02-26,38.54,38.72,37.82,37.95,16632704
2025-02-27,38.79,38.855,37.285,37.42,13147009
2025-02-28,36.71,37.02,36.23,36.91,14779630
2025-03-03,38.1,38.49,35.4,35.53,18101210
2025-03-04,35.4,35.62,34.262,34.9,18310704
2025-03-05,36.425,38.34,36.35,38.16,29190990
2025-03-06,38,39.01,37.3,37.68,18546825
2025-03-07,37.18,37.65,35.93,36.94,16969372
2025-03-10,35.6,35.68,33.98,34.5,21433019
2025-03-11,34.76,36.22,34.57,35.88,18345220
2025-03-12,36.81,37.24,36.03,36.78,13995789
2025-03-13,36.73,38.735,36.73,37.58,20682687
2025-03-14,38.09,38.95,38,38.85,15203307
2025-03-17,38.99,39.99,38.99,39.51,12880747
2025-03-18,40.12,40.31,39.275,39.84,14569882
2025-03-19,39.8,41.095,39.5249,40.42,17519016
2025-03-20,41.045,41.53,40.565,40.7,22075622
2025-03-21,39.96,40.37,39.21,40.25,22336021
2025-03-24,41.49,42.31,41.33,41.61,21356090
2025-03-25,42.1999,43.27,42.0875,43.01,20804715
2025-03-26,43.24,43.45,41.351,41.49,19433672
2025-03-27,40.69,40.705,39.61,39.98,18010179
2025-03-28,39.89,40.27,38.27,38.42,20227430
2025-03-31,37.26,38.185,36.33,37.86,17462465
2025-04-01,38.06,38.13,37.195,38.13,13121248
2025-04-02,37.6,38.22,37.41,38.2,13166361
2025-04-03,35.98,35.99,33.42,33.51,31999802
2025-04-04,31.15,31.32,28.485,29.15,44734505
2025-04-07,28.03,31.65,27.66,30.37,40398821
2025-04-08,31.66,31.775,28.64,29.21,35158084
2025-04-09,29.93,34.18,28.955,33.74,38575489
2025-04-10,32.72,32.82,30.23,31.35,25658438
2025-04-11,31.92,33.74,31.85,33.35,26250027
2025-04-14,34.07,34.64,33.06,33.75,19645885
2025-04-15,33.29,33.805,32.965,33.37,18742021
2025-04-16,33.37,33.98,32.835,33.32,17261124
2025-04-17,33.345,33.58,32.37,32.9,16988032
2025-04-21,33.12,33.3,32.1216,32.95,11419918
2025-04-22,33.42,34.755,33.3,34.06,19264308
2025-04-23,35.435,36.46,35.06,35.19,21643066
2025-04-24,35.57,37.81,35.27,37.63,23970933
2025-04-25,37.005,37.66,36.8125,37.35,10958833
2025-04-28,37.05,37.9,36.795,37.24,13380757
2025-04-29,37.37,37.5506,36.74,37.17,11269566
2025-04-30,34.89,36.17,34.45,36.03,15777364
2025-05-01,36.04,36.92,35.9,36.41,11614622
2025-05-02,37.615,37.99,37.01,37.6,11932244
