time_key,open,high,low,close,volume
2024-10-24,249.32,249.61,243.1,245.52,320244
2024-10-25,246.92,250.7,245.155,246.48,218218
2024-10-28,248.82,249.97,245.21,245.65,375373
2024-10-29,245.01,253.68,244.46,252.39,341467
2024-10-30,249.33,253.16,245.865,250.35,220776
2024-10-31,246.5,247.135,240.95,240.97,507571
2024-11-01,242.19,249.54,240.57,242.53,867430
2024-11-04,242.6,248.0525,239.09,239.61,775241
2024-11-05,217.8,231.53,208.335,230.23,1958359
2024-11-06,246.11,248.38,230.26,246.73,921803
2024-11-07,247.07,263.05,247,262.4,569805
2024-11-08,264,272.12,261.11,271.08,681502
2024-11-11,273.2,277.375,265.5,270.93,613575
2024-11-12,266,274.22,258.68,258.85,374474
2024-11-13,258.8,262.84,251.53,252,268410
2024-11-14,252,253,248.79,252,373646
2024-11-15,250.19,251.64,230.8,234.85,793218
2024-11-18,236.17,238.8295,231.94,232.26,359466
2024-11-19,230,248.9,230,248.74,437308
2024-11-20,224.36,227.7,216.44,226.3,1166647
2024-11-21,212,235.67,210.43,230.01,1291251
2024-11-22,230,232,226.14,230.43,708394
2024-11-25,231.84,233.17,225.05,228.63,606674
2024-11-26,230.95,236.28,228.925,235.5,572173
2024-11-27,236,236,221.22,225.85,767158
2024-11-29,229.86,236.54,227.5,234.58,498788
2024-12-02,233.89,237.54,231.04,233.98,572234
2024-12-03,233.47,238.36,230.91,235.38,428676
2024-12-04,239.31,246.04,239.31,241.79,374081
2024-12-05,241.33,241.89,234.2129,234.87,257237
2024-12-06,237.01,244.105,232.7,243,228944
2024-12-09,243.19,250.895,237.8,238.54,517924
2024-12-10,237,237.91,232.2795,233.83,316333
2024-12-11,237.12,241.56,235.44,240.23,336810
2024-12-12,240.28,253.88,239.39,245.82,464776
2024-12-13,250,256.24,245.375,247.86,358470
2024-12-16,247.09,247.09,234.71,237.63,633841
2024-12-17,235.66,240.47,229.48,231.76,425361
2024-12-18,236.27,246.02,227.57,231.63,761162
2024-12-19,236.73,238.44,222.42,222.74,536618
2024-12-20,217.91,226.43,215.9,221.26,967712
2024-12-23,223.14,227.2,219.78,220.89,382790
2024-12-24,220.85,223.705,219.925,221.24,185948
2024-12-26,221.24,225.08,218.7,224.15,228810
2024-12-27,220.65,221.435,215.6406,219.47,235979
2024-12-30,215.72,217.26,212.3142,214.76,190870
2024-12-31,215.23,220.78,213.72,219.88,416107
2025-01-02,219.29,223.8,218.045,220.37,275922
2025-01-03,223.11,229.88,219.28,229.69,317127
2025-01-06,234.65,240.51,231.86,232.79,354333
2025-01-07,234.39,236.6699,227.49,229.18,245600
2025-01-08,228.24,233.78,223.47,233.55,532701
2025-01-10,229.36,231.725,225.79,228.35,500045
2025-01-13,221.26,223.53,216.78,221.77,401817
2025-01-14,225.27,231.08,224.52,227.43,438109
2025-01-15,233.55,235.26,230.74,233.74,205740
2025-01-16,239.12,240,234.015,235.09,283663
2025-01-17,239.12,243.035,235.37,241.89,400268
2025-01-21,241.92,252.69,240.69,252.1,321604
2025-01-22,259.99,281.79,258.1,267.24,689783
2025-01-23,261.95,267.2,257.55,265.91,465282
2025-01-24,268.73,268.73,256.34,258.73,393192
2025-01-27,233.27,236.65,183.31,202.14,2776146
2025-01-28,206,207.7225,192.15,206.78,1093904
2025-01-29,208.29,215.43,204.98,207.74,600084
2025-01-30,208,217.865,204.33,212.82,712783
2025-01-31,216.82,224.97,215.36,216.21,805737
2025-02-03,205.01,227.95,205,225.6,1403398
2025-02-04,205.66,215.74,197.76,207.13,3038060
2025-02-05,206.6,220.06,206.6,213.8,1371840
2025-02-06,213.89,221.164,210.85,220.84,704807
2025-02-07,220.86,220.86,209.285,212.06,714439
2025-02-10,212.98,215.52,207.47,210.89,468331
2025-02-11,207.32,210.18,204.27,207.09,277516
2025-02-12,204.92,213.455,201.96,211.25,593689
2025-02-13,210.88,215.44,209.65,214.03,441004
2025-02-14,214,225.5,211.025,223.04,617121
2025-02-18,231.97,254.61,228.65,240.82,983784
2025-02-19,239.25,240.94,231.7954,239.02,809960
2025-02-20,240.04,240.04,226.53,230.67,661185
2025-02-21,236.52,236.84,220.88,221.9,495666
2025-02-24,222.95,227.835,214.36,214.39,725463
2025-02-25,211.96,214.9744,201.22,204.23,708254
2025-02-26,211.89,217.35,209.6,215.32,499159
2025-02-27,218.15,218.62,194.755,195.22,751780
2025-02-28,193.8,200.875,191.35,200.05,760441
2025-03-03,202.5,203.81,188.84,190.38,705972
2025-03-04,186.93,195.88,184.7,190.35,591610
2025-03-05,192.62,200.15,188.01,197.84,634421
2025-03-06,189.9,194.91,183.5,183.66,1139198
2025-03-07,184.63,195.625,176.99,193.83,1367607
2025-03-10,185.65,190.81,181.85,187.88,847177
