time_key,open,high,low,close,volume
2024-10-24,194.31,196.24,193.33,196.04,1858654
2024-10-25,197,200.95,194.01,198.47,1876040
2024-10-28,203.58,205.92,199.75,205.03,2657988
2024-10-29,206.42,206.8,198.6871,199.67,5039342
2024-10-30,187.63,201.31,183.68,197.5,7077423
2024-10-31,198.52,202.3388,194.17,194.48,2857356
2024-11-01,195.85,206.015,195.685,204.94,2838776
2024-11-04,209.68,221.2,209.4,212.28,5906308
2024-11-05,208.7,216,205.6251,215.89,2815559
2024-11-06,188.54,198,173.37,194.02,13756171
2024-11-07,194.75,199.42,188.19,196.7,4622981
2024-11-08,194.5,194.932,187.3,193.93,3559985
2024-11-11,193,197.5513,190.84,193.83,2419974
2024-11-12,190.55,191.9999,181.16,182.26,2987213
2024-11-13,183.72,185.35,178.87,182.13,2663476
2024-11-14,182.26,197.47,179.68,195.14,5510200
2024-11-15,194.59,203.99,190.13,190.45,4085893
2024-11-18,188.11,195.7499,186.23,195.56,1739147
2024-11-19,194.48,195.934,187.15,187.36,2279948
2024-11-20,187.16,190.8,182.53,184.84,2509341
2024-11-21,184.6,188.23,181.83,181.95,2101286
2024-11-22,182,188.72,181.76,186.05,1731525
2024-11-25,189.89,193.92,184.26,192.82,3914504
2024-11-26,192.36,193,187.15,192.32,1790437
2024-11-27,194,195.8,189.6001,192.57,1714785
2024-11-29,194.5,199.83,191.53,199.27,2144891
2024-12-02,204.35,212.15,202.01,207.92,3843853
2024-12-03,205.485,208.216,201.67,207.51,1917773
2024-12-04,207.69,207.8,199.37,201.57,2304030
2024-12-05,202,203.35,196,197.93,1719853
2024-12-06,200.72,201.7972,192.91,194.19,2221722
2024-12-09,196.02,205.1,194.305,200,1989017
2024-12-10,200.46,204.98,194.63,202.92,2430420
2024-12-11,205.68,206.25,197.31,201,2319334
2024-12-12,201.68,201.68,195.98,196.32,1451036
2024-12-13,196.89,201.72,195.4787,199.67,1414030
2024-12-16,197.64,198.9301,190.21,190.53,1817147
2024-12-17,190.3,195.82,187.75,188.27,2277996
2024-12-18,189.045,194.09,184.14,184.27,2201537
2024-12-19,183.59,185.17,175.38,175.88,2529511
2024-12-20,174.46,183.01,173.36,182.39,3462861
2024-12-23,183.4,186.83,180.5201,186.36,1718760
2024-12-24,186.84,189.14,184.5,186.21,671902
2024-12-26,184.505,186.4999,183.24,183.71,732474
2024-12-27,184.04,184.7354,180.52,182.63,1034119
2024-12-30,181.85,181.91,175.65,178.07,1360429
2024-12-31,179.26,180.7972,176.01,176.24,1383778
2025-01-02,177.91,187.4181,177.5,186.47,1796452
2025-01-03,187.61,188,184.06,186.43,1278007
2025-01-06,191.48,197.66,189.96,191.27,2194793
2025-01-07,194.13,201.2,194,197.73,2108840
2025-01-08,194.1,195.01,188.31,191.13,1780699
2025-01-10,190.52,191.66,186.97,189.24,1410682
2025-01-13,186.66,187,180.28,183.61,1496992
