time_key,open,high,low,close,volume
2024-10-24,35.95,36.53,35.65,36.47,5931408
2024-10-25,36.48,37.255,36.48,36.88,5018356
2024-10-28,37,37.635,36.965,37.42,5286243
2024-10-29,37.43,37.43,37.04,37.06,4937628
2024-10-30,37.04,37.26,36.53,36.54,5687553
2024-10-31,36.36,36.41,35.39,35.52,6620907
2024-11-01,35.49,36.575,35.485,36.28,6360782
2024-11-04,36.27,36.457613,35.8,35.99,9533898
2024-11-05,36,36.655,35.94,36.64,4162772
2024-11-06,37.44,37.53,35.8917,36.91,9571136
2024-11-07,36.81,37.6,36.72,37.34,5801718
2024-11-08,37.2,37.32,36.68,36.82,5489610
2024-11-11,36.99,38.6699,36.8,37.67,10160550
2024-11-12,37.45,37.93,37.1,37.11,6793970
2024-11-13,37.14,37.24,36.73,36.81,6087807
2024-11-14,36.85,37.1,36.47,36.49,6044524
2024-11-15,36.38,36.935,36.33,36.72,7278754
2024-11-18,36.92,37.725,36.845,37.43,7624786
2024-11-19,37.07,37.24,36.703,36.87,4665433
2024-11-20,36.87,36.98,36.425,36.68,4928961
2024-11-21,36.77,37.96,36.73,37.91,5969606
2024-11-22,37.96,38.65,37.88,38.13,6961129
2024-11-25,38.49,39.795,38.22,39.3,14160241
2024-11-26,39.25,39.62,38.94,39.1,12112424
2024-11-27,36.56,37.5,33.535,34.66,27423793
2024-11-29,34.25,35.88,34.25,35.43,8300944
2024-12-02,35.75,36.6,35.22,36.45,11320889
2024-12-03,36.375,36.92,35.89,36.79,7311620
2024-12-04,36.89,36.93,35.955,36.36,8736016
2024-12-05,36.58,36.62,36.03,36.17,8251449
2024-12-06,36.45,36.6,35.895,36.2,6583550
2024-12-09,36.28,36.81,36.12,36.45,6308444
2024-12-10,36.15,36.265,34.9,34.94,8015777
2024-12-11,34.85,34.9,34.35,34.55,8183462
2024-12-12,34.47,35.14,34.26,34.98,5143653
2024-12-13,35.06,35.08,34.345,34.55,5101544
2024-12-16,34.4,34.78,34.05,34.19,8182425
2024-12-17,33.52,34.36,33.3278,33.84,8290814
2024-12-18,33.98,34.067,32.44,32.49,10393079
2024-12-19,32.57,33.14,32.27,32.46,7615740
2024-12-20,32.29,33.1901,32.14,32.94,17752861
2024-12-23,32.84,33.26,32.65,33.23,5241816
2024-12-24,33.33,33.47,33.17,33.44,2128103
2024-12-26,33.34,33.65,33.27,33.43,3062800
2024-12-27,33.29,33.39,32.97,33.28,4423616
2024-12-30,32.84,32.8677,32.205,32.63,4243009
2024-12-31,32.825,32.915,32.435,32.63,4126665
2025-01-02,32.69,32.83,32.285,32.47,4660687
2025-01-03,32.83,33.15,32.58,33.14,5451673
2025-01-06,33.53,34.17,33.41,33.87,7757631
2025-01-07,34.02,34.45,33.445,33.67,5343720
2025-01-08,33.5,33.55,33.002,33.45,4891883
2025-01-10,33.11,33.445,32.89,33.2,6222542
2025-01-13,33.09,33.09,32.47,32.62,7063090
2025-01-14,32.9,33.15,32.37,32.67,5518025
2025-01-15,33.37,33.545,32.695,32.79,7227053
2025-01-16,32.72,32.73,32.34,32.35,7973542
2025-01-17,32.72,33,32.5,32.51,8455700
2025-01-21,32.42,32.98,32.22,32.95,7758207
2025-01-22,33.04,33.57,32.835,33.13,5184557
2025-01-23,33.08,33.53,32.76,33.38,4623490
2025-01-24,33.51,33.5197,32.63,32.73,4048921
2025-01-27,32.53,33.36,32.31,33.33,10176994
2025-01-28,33.19,33.2,32.29,32.74,5955856
2025-01-29,33.05,33.055,32.555,32.61,4039533
2025-01-30,33.02,33.08,32.685,32.8,3611791
2025-01-31,32.98,33.325,32.425,32.5,6179231
2025-02-03,31.71,32.38,31.05,32,8205701
2025-02-04,31.96,32.36,31.78,32.01,5050626
2025-02-05,32.01,32.58,32.01,32.57,5518113
2025-02-06,32.59,32.74,32.385,32.6,6197100
2025-02-07,32.85,32.97,32.14,32.27,4382860
2025-02-10,32.59,33.095,32.38,32.82,5424190
2025-02-11,32.655,33.29,32.52,33.15,4384534
2025-02-12,32.83,33.25,32.505,33.04,4312332
2025-02-13,33.1,33.34,32.9108,33.3,5393558
2025-02-14,33.38,33.81,33.34,33.64,4183372
2025-02-18,33.87,34.23,33.605,34.2,5309527
2025-02-19,34.185,34.86,34.087352,34.68,5665966
2025-02-20,34.85,34.9,34.38,34.72,5007041
2025-02-21,34.91,34.95,34.4753,34.63,7214145
2025-02-24,34.84,35.275,34.67,34.67,7142784
2025-02-25,34.78,35.01,34.01,34.1,7036118
2025-02-26,33.97,34.0706,33.59,33.83,7037824
2025-02-27,33.69,33.9,33.11,33.13,10360143
2025-02-28,31.43,31.43,29.98,30.87,23233205
2025-03-03,31.08,31.43,29.91,30.04,8299717
2025-03-04,29.92,30.13,29.175,29.29,9602523
2025-03-05,29.5,29.81,29.18,29.52,8940080
2025-03-06,29.25,30.02,29.24,29.97,10136799
2025-03-07,29.83,30.61,29.63,30.54,10995470
2025-03-10,30.31,30.5,29.6,29.98,8851054
2025-03-11,29.83,29.89,28.565,28.62,10783605
2025-03-12,28.51,28.59,27.82,28.47,9173463
2025-03-13,28.5,28.85,27.67,27.91,6882651
2025-03-14,28.25,28.535,28.115,28.41,5385836
2025-03-17,28.395,28.96,28.38,28.91,6395601
2025-03-18,28.76,28.8691,28.54,28.7,5001509
2025-03-19,28.8,29.01,28.49,28.76,7905890
2025-03-20,28.6,28.89,28.48,28.51,5525522
2025-03-21,28.24,28.68,27.95,28.68,23907656
2025-03-24,29.06,29.175,28.67,29,5804715
2025-03-25,29.05,29.13,28.6,28.81,6053797
2025-03-26,28.805,29.01,28.53,28.71,6371473
2025-03-27,28.49,28.78,28.285,28.65,6106493
2025-03-28,28.39,28.6505,27.79,27.9,5452124
2025-03-31,27.455,27.79,27.3,27.69,8946808
2025-04-01,27.88,27.9599,27.455,27.79,6494574
2025-04-02,27.49,28.065,27.49,27.88,6050269
2025-04-03,25.88,25.94,22.945,23.78,23089339
2025-04-04,23.32,23.46,21.96,22.61,22865133
2025-04-07,21.82,24.06,21.59,23.38,21901376
2025-04-08,23.7,23.82,21.51,21.88,17963463
2025-04-09,21.5,24.335,21.21,24.28,19749472
2025-04-10,23.42,23.66,22.32,22.87,11304389
2025-04-11,22.99,23.47,22.4,23.44,10168108
2025-04-14,24.69,25.1092,23.65,24.04,10638513
2025-04-15,24,24.27,23.51,23.74,9162388
2025-04-16,23.38,23.7899,23.0711,23.47,7280726
2025-04-17,23.72,23.9997,23.55,23.83,6785873
2025-04-21,23.45,23.825,23.105,23.75,8812652
2025-04-22,24.02,24.25,23.775,24.18,6415606
2025-04-23,25.11,25.58,24.49,24.63,7288074
2025-04-24,24.74,25.35,24.55,25.33,6542699
2025-04-25,25.33,25.52,25.06,25.28,5023445
2025-04-28,25.28,25.54,25.0244,25.39,5255952
2025-04-29,25.06,25.625,25.06,25.52,5320926
2025-04-30,24.92,25.67,24.92,25.57,6202813
2025-05-01,25.67,25.88,25.36,25.39,6525760
2025-05-02,25.93,26.075,25.79,25.95,5669265
2025-05-05,25.78,26.2,25.755,25.9,4577666
2025-05-06,25.62,25.935,25.49,25.63,5308491
2025-05-07,25.6,25.9,25.43,25.85,5702915
