time_key,open,high,low,close,volume
2024-10-24,220.8,221.32,216.16,218.39,11193440
2024-10-25,216.8,218.65,214.385,214.67,8482235
2024-10-28,215.5,216.25,212.7,212.91,4993343
2024-10-29,211.99,213.34,209.85,210.43,5258366
2024-10-30,209.48,211.12,204.26,204.9,6956624
2024-10-31,204.13,208.13,203.51,206.72,5925250
2024-11-01,207.77,209.84,207.41,208.25,3334308
2024-11-04,207.65,207.7,205.8,206.32,2594119
2024-11-05,206.17,208.115,205.57,207.57,2441535
2024-11-06,213.48,214.33,210.37,213.6,3934386
2024-11-07,213.64,214.5199,211.93,213.69,3675812
2024-11-08,214.16,216.7,212.7809,213.72,3201038
2024-11-11,214.4,215.41,213.48,213.57,3012987
2024-11-12,211.9,213.03,209.06,210.86,2818216
2024-11-13,209.5,211.41,209.0701,210.92,3247830
2024-11-14,210,210.4999,206.35,208.99,6372853
2024-11-15,207.46,208.49,204.07,204.99,3986460
2024-11-18,207,208.415,205.3701,208.09,3406045
2024-11-19,206.5,210.33,206.19,210.25,2860746
2024-11-20,211,214.96,209.7725,214.6,4562901
2024-11-21,215.81,222.63,215.2701,222.4,5236434
2024-11-22,223.35,227.2,220.89,222.97,5320740
2024-11-25,223.35,226.42,222.65,226.13,7189260
2024-11-26,226.73,228.98,225.5115,228.83,4449543
2024-11-27,228.83,229.19,224.27,226.92,2995121
2024-11-29,227.75,230.36,227.19,227.41,2640253
2024-12-02,227.5,228.38,225.51,227.39,2656181
2024-12-03,227.24,229.11,226.67,229,3163815
2024-12-04,230,233.74,229.35,233.49,4104195
2024-12-05,233.55,236.52,233.46,234.75,4791116
2024-12-06,234.43,238.38,234.22,238.04,4028430
2024-12-09,238,239.35,228.91,230,4970449
2024-12-10,228.4,234.39,227.8,231.72,4769531
2024-12-11,232.69,233,229.13,230.12,3872680
2024-12-12,230.66,233.89,230.38,232.26,4515741
2024-12-13,232.25,233.775,230.26,230.82,2757683
2024-12-16,230.73,231.03,226.88,229.33,3610257
2024-12-17,229.23,230.2,227.62,228.97,3651346
2024-12-18,229.035,229.035,220.03,220.17,4152517
2024-12-19,224.42,226.2,222.98,223.92,4430120
2024-12-20,222.73,227.6847,221.68,223.36,12423200
2024-12-23,222.81,223.74,221.08,221.93,2988137
2024-12-24,222.27,224.4446,221.5428,224.41,1186216
2024-12-26,223.31,225.4,222.55,224.89,3287238
2024-12-27,223.14,224.42,221.4054,222.78,1810760
2024-12-30,220.54,221.5942,217.6523,220.25,2095565
2024-12-31,220.72,221.0493,218.44,219.83,2270512
2025-01-02,221.82,222.49,217.6,219.94,2579498
2025-01-03,220.55,223.66,220.55,222.65,3873578
2025-01-06,223,224.35,220.75,222.67,2847128
2025-01-07,223.35,226.711,222.83,223.96,3299701
2025-01-08,223.91,224.9,220.83,223.18,2619768
2025-01-10,222,222.43,216.8,219.75,3570497
2025-01-13,217.89,219.59,214.75,217.4,3716816
2025-01-14,218,218.125,214.61,217.75,3485829
2025-01-15,220.87,221.6761,218.01,220.03,2951825
2025-01-16,219.69,222.68,217.38,222.66,3329060
2025-01-17,225.955,225.955,223.64,224.79,5506837
2025-01-21,224.99,227.45,222.8302,224.26,3982203
2025-01-22,221.98,224.4,220.35,223.26,4759490
2025-01-23,223.94,226.04,223.15,226.04,3619651
2025-01-24,225.27,226.8104,223.8,224.8,3233293
2025-01-27,222.19,224.3,219.84,224.13,4898355
2025-01-28,224.32,225.77,221.77,225.66,4485429
2025-01-29,225.62,229.47,223.73,228.63,7079804
2025-01-30,250,261.8,247.01,258.27,15381890
2025-01-31,256.05,257.235,251.89,255.7,7203519
2025-02-03,252.4,262.06,251.84,260.73,8408523
2025-02-04,260,265.25,258.1233,264.46,6077652
2025-02-05,265.71,265.72,261.18,263.3,6165096
2025-02-06,262.98,263.38,252.73,253.44,6128293
2025-02-07,255.28,256.93,252.02,252.34,3370284
2025-02-10,250.86,251.95,246.87,249.27,3564400
2025-02-11,251.1,256.75,250.58,254.7,4801550
2025-02-12,252.72,256.4,252.02,255.81,3075308
2025-02-13,255.66,259.28,254.41,259.19,4531538
2025-02-14,259,261.94,257.91,261.28,3925277
2025-02-18,261.93,263.965,259.83,263.07,4262812
2025-02-19,262,264.36,260.09,264.32,3718678
2025-02-20,263.65,265.09,262.15,264.74,4884805
2025-02-21,263.845,264.83,261.1,261.48,5667874
2025-02-24,261.5,263.845,259.58,261.87,4398107
2025-02-25,261.08,263.48,256.77,257.75,6292487
2025-02-26,258.1,258.325,254.4104,255.84,3460124
2025-02-27,255.22,257.63,253.05,253.23,3402234
2025-02-28,250.855,252.8099,246.54,252.44,7988809
2025-03-03,254.735,255.99,248.245,250.19,2977699
2025-03-04,248.75,255.48,248.1,253.21,5342106
2025-03-05,251.58,252.74,247.0146,251.35,4009813
2025-03-06,249.75,252.1,246.8019,248.69,3254358
2025-03-07,245.95,261.96,245.1823,261.54,6700184
2025-03-10,261.56,266.45,254.7474,256.9,8165503
2025-03-11,255.99,256.7,245.86,248.95,5630570
2025-03-12,250.35,253.127296,245.53,249.63,3849206
2025-03-13,248.8,249.27,243.04,245.8,3862416
2025-03-14,242.745,248.9499,241.68,248.35,4045284
2025-03-17,249.25,254.63,249,252.97,3234149
2025-03-18,252.51,252.57,245.12,246.95,4172239
2025-03-19,248.33,253.66,246.64,252.29,3853598
2025-03-20,244.24,246.8,237.224,243.32,7026796
2025-03-21,241.69,245.205,238.5,243.87,9580084
2025-03-24,247.31,248.82,245.965,248.45,4753331
2025-03-25,248.36,250.9,248.2,249.9,3133809
2025-03-26,251.25,254.32,249.53,250.34,4452220
2025-03-27,249.71,250.3,245.725,246.21,2889328
2025-03-28,246.27,247.57,242.07,244,3125594
2025-03-31,242.74,250.89,242.49,248.66,6794972
2025-04-01,248.03,250.62,243.49,250.34,4413139
2025-04-02,248.22,252.79,247.23,249.98,4080832
2025-04-03,242.71,250.61,242.53,243.49,5309626
2025-04-04,238,240.16,226.88,227.48,7407096
2025-04-07,219.24,232.29,214.5,225.78,7797889
2025-04-08,232.56,233.05,217.28,221.03,6849996
2025-04-09,217.12,236.3,215.1636,235.31,7302808
2025-04-10,231,232.57,222.02,229.55,5656108
2025-04-11,229.72,237.58,227.51,235.48,4325895
2025-04-14,239.77,241.77,236.73,239.06,3321717
2025-04-15,239.55,241.53,238.27,240.7,3363708
2025-04-16,240.28,243.2999,235.89,238.57,4870299
2025-04-17,239.68,241.775,237.4,238.81,4635204
2025-04-21,238.065,240.805,232.93,236.22,4908923
2025-04-22,238.5,242.64,238.02,240.9,4232658
2025-04-23,246,249.34,243.66,245.48,7948259
2025-04-24,231.175,232.78,224.4401,229.33,15428144
2025-04-25,228.95,233.36,226.32,232.41,6700068
2025-04-28,232.86,236.63,232.07,236.16,3653461
2025-04-29,237,239.98,236.14,239.39,3426508
2025-04-30,236.73,242.47,234.3401,241.82,5142993
2025-05-01,241.44,242.37,237.945,239.66,4243294
2025-05-02,243.125,245.69,241.33,245.55,3731946
2025-05-05,243.74,249.8,243.64,249.18,4138168
2025-05-06,247.76,250.19,246.11,249.12,2900556
2025-05-07,249.45,254.47,248.832,253.37,3400001
2025-05-08,255,256.52,253.25,254.14,3637012
2025-05-09,252.51,253,247.64,249.2,2901346
2025-05-12,252.5,253.81,244.65,253.69,4609520
2025-05-13,254.43,259.58,252.88,258.59,3521389
2025-05-14,257.6,260.55,256.22,257.82,3635124
2025-05-15,259.01,267.43,258.61,266.68,4856276
2025-05-16,266.35,267.98,264.59,266.76,3817937
2025-05-19,265.45,269.135,265.08,268.41,3198903
2025-05-20,267.4,269.28,265.6201,266.95,2437860
2025-05-21,264.97,265.6499,260.41,260.87,3753904
2025-05-22,260.77,261.2711,257.91,258.37,3091253
2025-05-23,258.58,259.8696,255.79,258.63,2722721
2025-05-27,261,263.7869,259.63,263.23,3284216
2025-05-28,263.16,265,259.94,260.24,2318437
2025-05-29,260.75,261.13,256.77,258.69,2295228
2025-05-30,258.75,260.12,257.1,259.06,9668923
2025-06-02,257.85,263.976,257.22,263.9,2831881
2025-06-03,263.35,265.56,262.58,265.2,2494922
2025-06-04,264.9,267,264.79,265.52,2588741
2025-06-05,265.2,267.51,265.1,266.86,2659478
2025-06-06,267.99,270.17,267.53,268.87,2495543
2025-06-09,268.1,273.47,266.71,272.08,4331464
2025-06-10,273.19,277.47,272.56,276.24,5163507
2025-06-11,276.7,281.75,275.11,281.52,4656034
2025-06-12,281.53,283.06,279.83,281.03,3418007
2025-06-13,278.205,279.84,275.83,277.22,3243824
2025-06-16,279.305,284.5,278.6657,281.83,3685321
2025-06-17,281.15,284.7899,281.0001,283.05,3069556
2025-06-18,285,286.91,282.94,283.21,3534110
2025-06-20,279.28,284.12,277.2,280.97,7676962
2025-06-23,281.65,289.58,280.21,289.18,3786159
2025-06-24,290.46,294.3399,288.41,293.79,4219120
2025-06-25,294.49,296.16,289.5,291.06,3862309
2025-06-26,291.8,292.91,290.165,291.93,3621110
2025-06-27,292.97,293.12,288.52,289.7,3562501
2025-06-30,290.93,294.81,290,294.78,3495386
