time_key,open,high,low,close,volume
2024-10-24,602.91,608.79,602,603.98,883317
2024-10-25,610,617.22,607.83,609.27,1000674
2024-10-28,612.84,613.77,607.89,612.09,1291982
2024-10-29,612.99,625.6,609.38,623.7,1134801
2024-10-30,623.79,629.47,619.905,621.11,1082398
2024-10-31,620.17,621.735,608.55,610.3,1478604
2024-11-01,605,626.38,603,621.74,1436999
2024-11-04,623,624.52,615.83,619.01,1152530
2024-11-05,619.86,622.285,610.71,618.83,1564288
2024-11-06,643.12,668,642.75,648.39,2963912
2024-11-07,651.74,675.1,651.74,674.15,1928020
2024-11-08,678,688.88,672.23,684.22,1705774
2024-11-11,683.79,698.96,682.3,697.35,1514491
2024-11-12,695,703.88,694.3,699.47,1409525
2024-11-13,697.25,714.78,695.02,706.25,1472423
2024-11-14,701.58,706,693.4,700.76,1769831
2024-11-15,691.16,692.85,680.21,687.87,1799379
2024-11-18,685.645,688.12,675.795,678.81,1580409
2024-11-19,636.1,646.8699,632.4,644.17,2536019
2024-11-20,642.09,652.28,637.6,650.6,1880673
2024-11-21,659.78,681.5894,656.75,678.7,2318306
2024-11-22,668.18,675,639.15,640.12,3294240
2024-11-25,641.61,651.11,632.88,634.62,2951827
2024-11-26,633,641.5,630.33,638.83,1784179
2024-11-27,633.92,641.085,631.2,636.17,1376295
2024-11-29,640.88,645.36,636.3301,641.73,828881
2024-12-02,637.05,640.385,631.67,634.07,1502257
2024-12-03,629.6,636.68,626.4,636.02,1105028
2024-12-04,639,660.39,636.945,654.64,1620046
2024-12-05,651.96,653.055,641.45,648.7,1219740
2024-12-06,649.17,654.11,645.82,646.47,1125182
2024-12-09,643.61,650.78,640.17,646.58,1379834
2024-12-10,649.29,659.235,644.7,647.07,1485682
2024-12-11,647.07,670.739,646.26,670.56,1868762
2024-12-12,674.03,676.15,662.95,672.25,1629743
2024-12-13,668.99,672.7,653.9783,656.45,1634810
2024-12-16,656.78,672.915,656.78,671.5,1684545
2024-12-17,670,679.85,664.045,677.77,1814907
2024-12-18,677.01,677.01,647.31,649.81,2408509
2024-12-19,653.76,661.95,636.71,636.95,2314760
2024-12-20,629.2,648.985,624.03,643.39,3450977
