time_key,open,high,low,close,volume
2024-10-24,24,24.41,23.885,23.93,522187
2024-10-25,24.17,24.43,23.945,23.95,524591
2024-10-28,24.2,24.42,23.83,24.2,719024
2024-10-29,24.12,24.315,23.8899,24.19,415362
2024-10-30,23.81,24.2455,23.32,23.59,1240590
2024-10-31,23.59,23.66,22.69,22.72,1094824
2024-11-01,22.82,23.2071,22.74,22.87,697367
2024-11-04,22.8,23.1757,22.765,22.99,634412
2024-11-05,23.06,23.36,23,23.19,891949
2024-11-06,24.72,24.92,23.89,24.27,1736532
2024-11-07,24.47,24.48,23.81,23.82,1460327
2024-11-08,24.08,26.21,24.07,25.97,2052511
2024-11-11,26.57,27.53,26.31,27.08,1985650
2024-11-12,26.97,27.7,26.75,27.26,1582204
2024-11-13,27.58,28.62,27.53,27.73,1548671
2024-11-14,27.66,27.97,25.2,25.28,1637294
2024-11-15,25.53,25.53,24.37,24.42,1394579
2024-11-18,24.49,24.81,24.335,24.38,1027277
2024-11-19,24.64,25.075,24.38,25.05,1313167
2024-11-20,25.01,25.32,24.7,25.22,1207607
2024-11-21,25.36,26.36,25.02,26.24,1114733
2024-11-22,26.48,26.85,26.1726,26.63,839993
2024-11-25,27.05,27.2,26.17,26.41,1162220
2024-11-26,26.28,27.53,26.24,27.24,1117790
2024-11-27,27.5,27.6596,26.43,26.95,911486
2024-11-29,27.33,27.44,26.8899,27.09,593090
2024-12-02,27.18,27.21,26.41,26.91,851759
2024-12-03,27.05,27.075,26.03,26.36,905876
2024-12-04,26.42,28.0389,26.28,27.95,1119821
2024-12-05,27.76,27.77,27.27,27.3,1211837
2024-12-06,27.62,28.07,27.3895,27.99,840416
2024-12-09,28.3,28.37,26.84,27.23,1097994
2024-12-10,27.2,27.6668,27.05,27.37,816684
2024-12-11,27.61,27.62,27.1453,27.34,637025
2024-12-12,27.21,27.69,26.48,26.5,676449
2024-12-13,26.5,27.36,26.5,26.84,804674
2024-12-16,27.79,28.71,27.36,28.29,2628209
2024-12-17,28.23,28.24,27.105,27.25,1428370
2024-12-18,27.22,27.32,25.17,25.51,1738321
2024-12-19,26.02,26.3667,25.26,25.6,1409546
2024-12-20,25.06,26.105,25.04,25.87,2601148
2024-12-23,26.37,26.37,25.7086,25.99,956951
2024-12-24,26.06,26.72,25.83,26.66,464914
2024-12-26,26.56,26.8799,26.26,26.75,764731
2024-12-27,26.92,27.27,26.35,26.52,1028967
2024-12-30,26.13,26.78,25.64,26.52,851550
2024-12-31,26.66,26.8515,26.25,26.38,892566
2025-01-02,26.37,27,26.15,26.38,877057
2025-01-03,26.4,27.54,26.4,27.48,932732
2025-01-06,29.4,29.958,28.4,29.53,3722393
2025-01-07,29.88,30.39,28.355,28.61,2391042
2025-01-08,28.3,28.96,27.38,28.94,1791595
2025-01-10,28.23,29.6899,28.0811,29.37,1746814
2025-01-13,29.7,31.19,29.37,30.89,3185160
2025-01-14,31.6,33.09,31.42,32.76,2916353
2025-01-15,33.3,34.33,32.83,34.05,4039524
2025-01-16,34.13,34.83,33.25,33.61,2589467
2025-01-17,33.84,34.528,33.2,33.62,4950387
2025-01-21,34.01,35.31,33.78,35.22,3105421
2025-01-22,35.205,35.66,34.69,34.95,1830508
2025-01-23,34.83,35.22,34.33,34.57,2874664
2025-01-24,34.41,34.85,33.99,34.13,1613448
2025-01-27,33.46,33.77,32.58,33.48,1869008
2025-01-28,33.5,35.21,33.22,33.48,2078936
2025-01-29,33.44,33.6639,32.39,32.75,2213473
2025-01-30,33.49,33.84,32.73,33.65,1228175
2025-01-31,33.68,34.26,33.35,33.37,1361545
2025-02-03,32.5,33.8,32.4,33.2,1436243
2025-02-04,33.3,34.48,33.3,34.38,1757660
2025-02-05,34.6,34.78,34.1576,34.28,1386194
2025-02-06,34.33,34.357,31.98,32.54,2037335
2025-02-07,32.595,32.8649,32.14,32.46,1474953
2025-02-10,32.92,33.2942,32.29,33.09,1543603
2025-02-11,32.85,33.04,31.91,32.07,1720649
2025-02-12,31.38,31.88,30.88,31.01,1902824
2025-02-13,31.25,31.8,28.28,28.56,3897896
2025-02-14,28.26,28.26,26.89,27.16,3734352
2025-02-18,27.3,27.65,26.75,27.05,2681170
2025-02-19,27.035,27.22,26.57,26.85,1793433
2025-02-20,26.77,26.87,25.55,25.99,2269930
2025-02-21,27.03,27.22,25.19,25.29,2331356
2025-02-24,25.555,25.555,23.9,24.39,2340205
2025-02-25,24.56,25.2198,24.33,25.11,2934708
2025-02-26,25.2,25.51,24.61,24.96,2609331
2025-02-27,25.01,26.52,24.795,26.27,3397199
2025-02-28,25.78,26.41,25.11,26.39,2862765
