time_key,open,high,low,close,volume
2024-10-24,66.14,66.205,64.23,64.64,984986
2024-10-25,65.08,65.08,63.7,64.37,830384
2024-10-28,64.94,65.7,64.46,64.96,772493
2024-10-29,65.15,66.5899,64.87,65.76,1001141
2024-10-30,64.64,66.28,64.62,65.35,1015279
2024-10-31,65.09,65.09,62.78,63.87,1256357
2024-11-01,63.14,65.69,62.38,65.35,1451959
2024-11-04,65.06,65.635,64.13,64.17,1257812
2024-11-05,64.93,66.64,64.6,66.18,1669720
2024-11-06,67.97,72.7695,67.9,71.97,4198692
2024-11-07,73.07,73.9,72.07,73.64,2900903
2024-11-08,86.5,88,81.03,83.85,7369004
2024-11-11,85.01,89.7,84.86,86.72,3190825
2024-11-12,86.04,88.69,85.87,86.65,2124827
2024-11-13,87.16,88.53,86.505,88.06,2024878
2024-11-14,88.12,88.85,84.99,85.13,1737078
2024-11-15,83.6,84.45,79.94,81.45,1784788
2024-11-18,81.95,82.025,80.01,80.54,1342160
2024-11-19,79.68,82.97,79,82.48,1278100
2024-11-20,81.65,83.12,80.22,82.47,1586756
2024-11-21,86.32,90.51,84.72,85.61,3656638
2024-11-22,85.82,89.64,85.2201,89.09,2309919
2024-11-25,89.61,91.21,86.955,87.2,3294568
2024-11-26,87.59,88.94,86.52,86.98,1144430
2024-11-27,86.13,87,82.61,83.77,1478043
2024-11-29,84.5,87.23,83.91,86.97,975161
2024-12-02,87.19,88.335,86.14,86.37,1007344
2024-12-03,86.96,89.92,86.24,88.7,1421739
2024-12-04,90,95.92,89.755,94.9,3231670
2024-12-05,94.08,95.3,92.28,92.64,1608907
2024-12-06,93.21,94.22,91.55,92.84,1483212
2024-12-09,93.38,93.38,88.8,89.8,1146088
2024-12-10,89.8,90.155,86.21,86.97,1571733
2024-12-11,88,89.8991,86.99,88.2,1594599
2024-12-12,89.87,94.82,89,90.75,1836171
2024-12-13,93.6,96.25,91.1,92.92,1427887
2024-12-16,92.83,95.68,92.61,93.18,1654496
2024-12-17,91.4,92.18,88.5,88.92,1391582
2024-12-18,89.97,90.47,81.385,82.9,3009951
2024-12-19,84.4,87.39,82.615,83.56,1482603
2024-12-20,82.3,86.55,81.865,85.08,2130165
