time_key,open,high,low,close,volume
2024-10-24,8.05,8.48,7.76,7.92,11110306
2024-10-25,7.97,8.2299,7.85,7.99,7581020
2024-10-28,8.02,8.66,7.94,8.22,14217500
2024-10-29,8.23,8.4,8.06,8.32,6708293
2024-10-30,8.22,8.52,7.85,7.86,11187857
2024-10-31,8.02,8.02,7.41,7.8,8348313
2024-11-01,7.83,8.15,7.71,8.11,6963302
2024-11-04,8.05,8.12,7.55,7.58,6961654
2024-11-05,7.66,7.87,7.635,7.74,3963363
2024-11-06,8.04,8.33,7.755,8.26,11957023
2024-11-07,8.39,10.01,8.26,9.52,33700527
2024-11-08,9.65,9.82,9.2429,9.73,13631623
2024-11-11,10.35,11.02,9.6,11,18414188
2024-11-12,10.71,11,10.26,10.4,12708715
2024-11-13,11.3,12.99,10.6,11.76,40556601
2024-11-14,14.21,14.9,10.11,10.23,62951873
2024-11-15,10.12,12.63,10.06,12.42,37661389
2024-11-18,12.27,12.4,11.38,11.68,23767855
2024-11-19,11.44,13.66,11.3,12.56,31020800
2024-11-20,12.44,12.7,11.81,12.07,12758718
2024-11-21,12.16,14.8,11.66,13.995,35652381
2024-11-22,14.06,15.55,13.66,15.12,28479479
2024-11-25,15.56,15.7194,14.1,14.68,18442790
2024-11-26,14.42,15.67,13.8,14.055,16358861
2024-11-27,14.2,14.78,13.6,14.45,11501292
2024-11-29,14.51,17.14,14.5,16.35,19876036
2024-12-02,16.44,16.48,14.42,14.56,17859099
2024-12-03,14.42,14.8,13.92,14.15,12864250
2024-12-04,11.54,13.06,11.31,12.82,38092660
2024-12-05,13.01,13.4,11.62,12,23768280
2024-12-06,12.18,12.68,11.83,12.42,15007839
2024-12-09,12.58,13.15,12.11,12.81,10535341
2024-12-10,12.495,13.07,11.62,11.69,9992882
2024-12-11,11.82,11.95,11.39,11.66,8326327
2024-12-12,11.66,12.48,11.55,11.68,8666617
2024-12-13,11.64,12.16,11.46,11.685,9340835
2024-12-16,11.86,12.96,11.15,12.93,13938021
2024-12-17,12.89,14.105,12.67,13.89,14294788
2024-12-18,13.89,14.99,13.03,13.15,17637572
2024-12-19,13.5,14.7,12.535,12.78,13936332
2024-12-20,12.41,14.035,12.03,13.57,20422018
2024-12-23,14.33,16.3,13.82,14.58,26557219
2024-12-24,14.835,16.72,14.41,16.65,19304430
2024-12-26,16.8,19.29,16.28,19.075,28542661
2024-12-27,19.09,19.62,17.87,18.39,15166174
2024-12-30,17.75,19.3,17.27,18.94,15412774
2024-12-31,18.94,19.21,17.55,18.16,14048234
2025-01-02,18.31,21.005,17.712,19.32,27752500
2025-01-03,19.45,22.12,19.16,21.89,22211243
2025-01-06,22.12,22.3199,20.9564,21.76,15032526
2025-01-07,21.79,22.29,19.65,19.87,14426953
2025-01-08,19.2,19.68,17.87,18.79,13434050
2025-01-10,18.43,19.0439,17.3,17.87,9506202
2025-01-13,16.99,17.27,15.86,16.91,10861300
2025-01-14,17.85,18.2999,16.725,16.81,8179969
2025-01-15,17.65,19.25,17.54,19.18,16110945
2025-01-16,19.2,19.7,18.47,19.06,9662013
2025-01-17,19.205,19.86,18.5,18.51,9861889
2025-01-21,19.54,22.98,19.28,22.94,28615416
2025-01-22,21.955,23.45,21.86,22.45,12616832
2025-01-23,21.83,22.95,21.18,22.17,13019086
2025-01-24,23.19,24.95,22.76,23.07,23937030
2025-01-27,21.71,23.09,20.78,21.14,12033580
2025-01-28,22.38,22.99,20.05,21.52,12139898
2025-01-29,21.52,22.47,20.41,20.87,9653079
2025-01-30,21.46,23.035,21.145,22.42,13645327
2025-01-31,22.65,23.89,21.64,21.68,14210515
2025-02-03,20.29,22.186761,19.7,21.7,11198966
2025-02-04,21.56,22.2699,21.02,21.58,11107766
2025-02-05,21.06,21.21,19.36,19.62,15240601
2025-02-06,19.99,20.21,18.862,19.39,10083072
2025-02-07,19.39,20.06,18.125,18.4,11673007
2025-02-10,18.7,20.27,18.5,19.93,11614739
2025-02-11,19.6,19.749,18.03,18.14,10889684
2025-02-12,17.95,19.325,17.57,18.75,9995396
2025-02-13,19.22,19.86,18.9,19.16,10416682
2025-02-14,19.5,19.93,18.44,19.62,10431189
2025-02-18,20.26,22.4,19.65,20.27,18311778
2025-02-19,20.46,21.2521,19.3,19.58,12416524
2025-02-20,19.66,20.16,17.852,19.72,12571213
2025-02-21,19.71,20.17,17.72,18.075,12846400
2025-02-24,18.385,18.6,16.68,16.97,13158347
2025-02-25,16.25,16.46,14.5,15.4,14871601
2025-02-26,16.71,17.37,16,16.5,11951490
2025-02-27,17.225,17.335,14.321,14.395,15047036
2025-02-28,13.181,14.9,13.02,14.58,17615573
2025-03-03,14.805,15.13,13.17,13.46,12873504
2025-03-04,12.82,14.1,12.55,13.47,12892820
2025-03-05,13.86,14.2,13.45,14.11,10215747
2025-03-06,13.65,14.08,10.25,11.26,51019533
2025-03-07,7.26,9.55,7.05,8.77,52216421
2025-03-10,7.79,7.8908,6.64,6.78,25083668
2025-03-11,6.72,7.04,6.26,6.48,20201721
2025-03-12,6.825,7.65,6.53,7.42,21057429
2025-03-13,7.26,7.35,6.58,6.7,13775786
2025-03-14,6.905,7.34,6.81,7.31,11262944
2025-03-17,7.33,8.13,7.2119,7.91,13046310
2025-03-18,7.61,7.6472,7.01,7.01,9642056
2025-03-19,7.15,7.42,6.9108,7.26,8549651
2025-03-20,7.14,7.35,7,7.11,6655786
2025-03-21,6.81,7.2387,6.81,7.09,12831089
2025-03-24,7.64,9.35,7.64,9.22,28891480
2025-03-25,9.395,9.4808,8.6301,9.2,16847976
2025-03-26,9.14,9.43,8.56,8.79,11672102
2025-03-27,8.5,8.7799,8.22,8.27,7723473
2025-03-28,8.23,8.4,7.81,8.07,7257396
2025-03-31,7.76,7.86,7.38,7.45,9679121
2025-04-01,7.55,7.591,7.16,7.47,7435766
2025-04-02,7.285,8.34,7.285,8.305,9487137
2025-04-03,7.6,7.83,7.38,7.54,8385129
2025-04-04,7.15,7.205,6.21,6.87,9676093
2025-04-07,6.31,7.625,6.135,7.12,11291076
2025-04-08,7.77,8.17,7.02,7.255,11229321
2025-04-09,7.13,8.59,6.85,8.38,14871832
2025-04-10,8.055,8.26,7.625,7.84,7201345
2025-04-11,7.81,7.9599,7.41,7.72,7250951
2025-04-14,8,8.11,7.48,7.73,4801895
2025-04-15,7.72,8.19,7.57,7.79,5094153
2025-04-16,7.5,7.612,7.33,7.565,4337863
2025-04-17,7.575,7.74,7.22,7.45,4036230
2025-04-21,7.26,7.3465,6.75,7.04,5472881
2025-04-22,7.13,7.46,7.12,7.36,4374591
2025-04-23,7.82,8.33,7.75,7.86,8600908
2025-04-24,7.91,8.455,7.81,8.38,5101969
2025-04-25,8.43,8.58,8.26,8.58,3559875
2025-04-28,8.695,8.825,8.25,8.57,3937990
2025-04-29,8.555,8.69,8.445,8.6,3555283
2025-04-30,8.22,8.3467,7.95,8.2,3466931
2025-05-01,8.4,8.725,8.17,8.62,4828209
2025-05-02,8.87,9.65,8.81,9.3,12188322
2025-05-05,9.125,9.19,8.83,9.05,3471051
2025-05-06,8.69,8.98,8.54,8.975,3249897
2025-05-07,8.975,9.115,8.78,8.93,3096331
2025-05-08,9.2,9.54,8.885,9.35,5142613
2025-05-09,9.42,9.505,8.99,9.24,3713173
2025-05-12,9.86,10.19,9.41,9.5,6421537
2025-05-13,11.1,12.8,11.01,11.63,35779626
2025-05-14,11.9,12.79,11.6689,11.83,17242573
2025-05-15,11.78,12.1732,10.9225,11.83,9984797
2025-05-16,12.1,12.72,11.97,12.36,9278471
2025-05-19,11.75,12.13,11.599,12.12,5925271
2025-05-20,12.1,12.1699,11.595,11.91,5094500
2025-05-21,11.72,11.83,11.18,11.23,5366020
2025-05-22,11.09,11.7798,10.78,11.46,5709692
2025-05-23,11.1,11.52,11.0114,11.34,3978336
2025-05-27,11.92,13.11,11.91,12.64,12639256
2025-05-28,12.8,12.9,12.05,12.24,7043514
2025-05-29,12.65,12.7709,11.93,11.95,5368825
2025-05-30,11.7,11.79,11.11,11.41,6230586
2025-06-02,11.16,11.24,10.69,11.01,6271679
2025-06-03,11.29,11.6,10.8729,11.03,5317898
2025-06-04,11.05,11.52,10.72,11.06,4895964
2025-06-05,11.09,11.28,10.6401,10.88,7867317
2025-06-06,10.97,12.11,10.97,11.71,10077460
2025-06-09,12.07,12.1399,11.3514,11.79,7802932
2025-06-10,11.93,12.09,11.15,11.21,6396072
2025-06-11,11.48,11.566,11.055,11.22,5336490
2025-06-12,11.075,11.25,10.84,10.89,4499031
2025-06-13,10.5,10.7951,10.37,10.45,4192424
2025-06-16,10.6,10.865,10.42,10.84,4512962
2025-06-17,10.61,10.69,10.055,10.23,5494350
2025-06-18,10.2,10.37,9.98,10.16,5032779
2025-06-20,10.28,10.54,10.11,10.18,7959278
2025-06-23,9.92,10.15,9.52,10,5783992
2025-06-24,10.15,10.48,10.1,10.34,4284189
2025-06-25,10.63,10.87,9.99,10.04,4639136
2025-06-26,10.02,11.39,9.9,11.36,8674833
2025-06-27,11.39,11.5176,10.64,10.96,16353706
2025-06-30,11.26,11.42,10.71,10.87,5785384
