time_key,open,high,low,close,volume
2024-10-24,17.95,18.7,17.75,18.55,2104476
2024-10-25,18.67,18.7746,18.47,18.64,1541894
2024-10-28,18.69,19.43,18.55,18.88,2689536
2024-10-29,18.96,19.2,18.88,18.99,1349947
2024-10-30,18.85,19.29,18.74,18.74,2177471
2024-10-31,18.55,18.56,17.79,17.99,2150255
2024-11-01,18.2,18.42,18.015,18.23,1817985
2024-11-04,18.34,18.65,17.995,18.25,2070658
2024-11-05,18.25,18.94,18.05,18.61,2379425
2024-11-06,19.54,19.87,19,19.68,4788578
2024-11-07,19.7,20.045,19.38,19.98,3189354
2024-11-08,19.8,19.82,18.87,19.5,3124994
2024-11-11,19.6,20.58,19.38,20.41,2529058
2024-11-12,20.09,20.3825,19.57,19.85,2040240
2024-11-13,20,20.1,18.75,19.12,3518606
2024-11-14,19.09,19.28,18.425,18.57,2678496
2024-11-15,18.73,18.73,18.02,18.28,2118953
2024-11-18,18.15,18.68,18,18.35,1828315
2024-11-19,18.31,18.325,17.65,18.02,1730509
2024-11-20,17.89,18.3178,17.68,18.23,1225378
2024-11-21,18.18,19.12,18.01,18.73,1592199
2024-11-22,18.72,19.87,18.53,19.64,2339902
2024-11-25,19.88,21.04,19.88,20.84,2727294
2024-11-26,20.5,20.66,19.97,20.25,3269699
2024-11-27,20.7,21.26,20.56,20.84,2007349
2024-11-29,20.98,21.7,20.945,21.07,1079768
2024-12-02,21.11,21.11,20.285,20.81,2891346
2024-12-03,23.07,24.01,22.5028,23.11,12832531
2024-12-04,23.21,23.6,20.61,21.13,6454371
2024-12-05,20.88,21.055,20,20.01,3536420
2024-12-06,20.34,20.47,19.54,19.72,2118943
2024-12-09,20.37,21.13,20.15,20.52,3029965
2024-12-10,20.25,20.25,19.38,19.54,4162840
2024-12-11,19.69,19.798,19.01,19.45,1981053
2024-12-12,19.25,19.73,18.9,19.6,2127127
2024-12-13,19.28,19.4,18.85,19.37,2252623
2024-12-16,19.08,19.21,18.58,18.79,2407706
2024-12-17,18.58,18.8,18.18,18.37,2567267
2024-12-18,18.2,18.36,16.54,16.73,3143050
2024-12-19,16.95,17.2,15.97,16.18,4543664
2024-12-20,16.03,16.26,15.71,15.84,4509656
2024-12-23,15.82,16.38,15.68,16.29,2650489
2024-12-24,16.42,16.56,16.25,16.54,857892
2024-12-26,16.5,16.95,16.3,16.84,2046757
2024-12-27,16.71,16.9899,16.335,16.46,1529411
2024-12-30,16.27,16.27,15.78,15.98,2327772
2024-12-31,16.01,16.18,15.5602,15.6,2305386
2025-01-02,15.85,16.525,15.77,16.39,3008880
2025-01-03,16.55,18.37,16.51,18.2,4892111
2025-01-06,19.25,21.14,18.8,20.46,10553784
2025-01-07,20.72,21.13,20.3,20.58,2844202
2025-01-08,20.27,20.27,18.89,19.38,2665313
2025-01-10,19.5,20.06,19.2,19.75,2089649
2025-01-13,19.43,19.7,19.2,19.53,2174093
2025-01-14,19.84,20.1,19.23,19.39,1283427
2025-01-15,20.25,21.28,19.95,20.61,3114555
2025-01-16,20.23,21.385,19.9319,21.17,2535231
2025-01-17,21.44,21.52,20.898,20.94,1978438
2025-01-21,21.2,21.35,19.72,20.87,2999915
2025-01-22,21.5,21.8995,21.03,21.08,2351459
2025-01-23,21.01,21.55,20.7501,21.41,1461512
2025-01-24,21.81,22.12,21.45,21.57,3716812
2025-01-27,20.84,21.7095,20.79,21.52,2316958
2025-01-28,21.58,21.705,20.61,20.82,1541397
2025-01-29,20.87,21.1423,20.53,20.68,1501695
2025-01-30,21.13,21.9337,20.93,21.74,2102223
2025-01-31,21.76,22.28,21.6,21.96,2844863
2025-02-03,22.35,23.67,21.81,22.23,5228158
2025-02-04,22.63,24.78,22.63,24.47,8831326
2025-02-05,24.47,24.535,23.1217,23.56,4570260
2025-02-06,24.2,24.8,23.675,24.11,4407643
2025-02-07,24,24.13,23.37,23.94,3882372
2025-02-10,24.125,26,23.91,25.52,6625344
2025-02-11,25,25.1377,24.42,24.69,3215579
2025-02-12,24.335,24.7,23.88,24.15,2408480
2025-02-13,24.37,24.5899,23.66,24.38,2374666
2025-02-14,24.68,24.6899,23.5146,23.72,1741897
2025-02-18,23.82,24.2583,23.44,23.45,2241466
2025-02-19,23.25,23.51,22.595,22.99,2746899
2025-02-20,22.98,23.38,22.6,23.18,1919333
2025-02-21,24.57,24.7,23.48,24.3,4661664
