time_key,open,high,low,close,volume
2024-10-24,88.2,90.11,88,89.57,1768520
2024-10-25,89.82,90.65,88.47,88.76,1437283
2024-10-28,89.38,90.08,87.78,87.94,1396734
2024-10-29,88.44,89.63,87.33,89.52,1441512
2024-10-30,89.5,91.31,89.357,89.85,2402415
2024-10-31,88.29,88.7299,87.1,87.71,2111326
2024-11-01,88.61,88.7,86.2569,87.55,1964077
2024-11-04,87,87.76,85.6,86.49,2016905
2024-11-05,86.92,88.15,86.425,87.71,1920435
2024-11-06,90.25,92.62,89.815,92.51,2938401
2024-11-07,94.89,97.5325,94.1101,95.66,7095186
2024-11-08,88.45,92.2,87.24,91.25,7777228
2024-11-11,91.25,95.36,90.8,93.23,5152278
2024-11-12,92.89,93.9999,89.45,90.91,2521198
2024-11-13,91.42,99.17,91.25,94.16,5786326
2024-11-14,94.46,95.45,91.06,91.93,2646421
2024-11-15,90.43,91.13,87.77,89.77,3373466
2024-11-18,89.975,92.9,89.55,92.29,3140578
2024-11-19,91.465,96.56,91.42,96.37,3554768
2024-11-20,96.56,96.96,93.16,96.47,2368326
2024-11-21,99.76,104.49,99.33,104.24,5690514
2024-11-22,104,105.94,102.87,104.23,3113436
2024-11-25,106.75,106.75,103.0789,103.73,2816456
2024-11-26,104,105,101.67,102.23,2365134
2024-11-27,101.88,101.88,98.58,99.37,2340028
2024-11-29,99.56,101.14,98.89,99.83,1042359
2024-12-02,106.03,108.617,104.61,105.05,4588367
2024-12-03,103.37,105.8894,103.21,104.91,1699445
2024-12-04,107,110.85,106.94,110.72,4434108
2024-12-05,109.41,112.8399,108.61,110.46,3254351
2024-12-06,111.28,113.7,110.35,112.96,2745298
2024-12-09,112.96,114.695,111.28,113.87,3199076
2024-12-10,112.8,113.87,109.73,111.2,2703251
2024-12-11,112.395,115.84,112,114.51,2604148
2024-12-12,112.4,115.12,111.33,114.89,1633001
2024-12-13,114.8,115.29,112.61,113.6,1927877
2024-12-16,113.9,115.43,112.17,114.65,2197603
2024-12-17,118.23,119.42,116.0101,117.56,3870358
2024-12-18,117.58,117.58,108.47,109.1,3932081
2024-12-19,110.37,111.13,107,108.58,3152479
2024-12-20,108,113.5,107.07,112.69,5114639
2024-12-23,112.16,113.27,110.53,111.58,1636177
2024-12-24,111.75,113.0999,111.7027,112.58,526538
2024-12-26,112.11,113.54,111.55,112.61,787390
2024-12-27,111.945,112.36,108.2103,110.61,1496777
2024-12-30,108.67,109.4,107.49,109.03,1449166
2024-12-31,109,109.04,106.986,107.68,1292331
2025-01-02,114.5,114.75,110.68,112.54,3973206
2025-01-03,113.4,114.8,112.06,114.73,3159425
2025-01-06,116.365,117.08,112.5152,113.99,2424488
2025-01-07,116.64,118.13,112.95,113.67,3627956
2025-01-08,112.43,115.9,111.485,115.7,3029974
2025-01-10,111.13,113.25,109.501,112.62,2291956
2025-01-13,110.035,111.16,108.585,110.71,2125908
2025-01-14,112.46,113.9,111.32,112,1928097
2025-01-15,113.56,115.52,113.14,114.48,2293411
2025-01-16,115.42,116.47,114.11,114.82,2058846
2025-01-17,119.42,121.02,116.775,117.16,3544084
2025-01-21,119.26,120.45,117.9401,119.85,2700715
2025-01-22,120.705,123.13,119.8701,123.09,2523925
2025-01-23,122.99,124.64,122,123.93,2602895
2025-01-24,125,125.71,123.28,125.12,2109662
2025-01-27,121.75,130.645,121.5,126.47,3994188
2025-01-28,128.83,140.25,125.6713,139.98,7638268
2025-01-29,137.84,138.11,134.2376,136.44,4315440
2025-01-30,137.25,139.5967,135.8301,137.26,2962683
2025-01-31,138.73,142.4099,138.13,138.4,3241317
2025-02-03,133,138.62,130.095,136.84,4292125
2025-02-04,139.52,141.67,137.9938,140.14,3021574
2025-02-05,139.78,144.3,139.04,144.29,3480744
2025-02-06,142.94,144,140.53,141.52,6808681
2025-02-07,153.5,171.38,152.33,166.66,15077968
2025-02-10,167.5,176.725,164.53,172.49,6849229
2025-02-11,170,174.9,168.5,172.55,4238210
2025-02-12,171.69,173.2499,169.17,172.83,3207450
2025-02-13,173.92,176.51,171.76,176.5,2796800
2025-02-14,175.5,177.3677,170.92,171.16,3558538
2025-02-18,166.445,170.3763,164.33,168.81,5179398
2025-02-19,166.31,167.6916,159.89,160.59,5541711
2025-02-20,158.25,158.26,151.8401,156.38,5716450
2025-02-21,156.82,158.0575,150.4,151.96,3654517
2025-02-24,151.22,151.62,144.38,148,4364360
2025-02-25,146.7,147.6,140.22,143.14,3851243
2025-02-26,145.27,146.88,144.05,144.92,2993767
2025-02-27,148,150.69,140.65,140.72,2901851
2025-02-28,140,145.71,137.94,145.3,4614383
2025-03-03,145.95,149.1599,141.72,142.91,4735075
2025-03-04,135.25,144.28,132.81,140.93,5066419
2025-03-05,140.06,143.965,137.2401,143.75,2629079
2025-03-06,140.14,141.8999,129.72,131.02,4493176
2025-03-07,129.93,132.36,121.025,126.75,5757304
2025-03-10,122.925,122.925,113.83,116.61,6514767
2025-03-11,116.585,123.36,116.51,120.07,5899670
2025-03-12,124.97,126,116,119.4,6783538
2025-03-13,115.49,116.6,111.02,113.7,4525133
2025-03-14,115.39,117.79,114.5,116.15,3266854
2025-03-17,115.67,118.05,115.29,116.02,2793543
