time_key,open,high,low,close,volume
2024-10-24,4.75,4.8,4.744,4.8,21665370
2024-10-25,4.8,4.82,4.76,4.77,22097522
2024-10-28,4.83,4.95,4.83,4.95,34528149
2024-10-29,4.925,4.94,4.85,4.85,21278438
2024-10-30,4.82,4.84,4.77,4.78,17105725
2024-10-31,4.73,4.75,4.68,4.71,19945233
2024-11-01,4.75,4.77,4.73,4.73,11303696
2024-11-04,4.74,4.76,4.65,4.67,13223106
2024-11-05,4.67,4.73,4.67,4.71,11971247
2024-11-06,4.6,4.62,4.58,4.58,15999132
2024-11-07,4.59,4.65,4.56,4.6,17398468
2024-11-08,4.54,4.56,4.51,4.55,18213401
2024-11-11,4.57,4.6,4.54,4.56,13805844
2024-11-12,4.52,4.53,4.45,4.5,17059876
2024-11-13,4.47,4.47,4.42,4.46,17013441
2024-11-14,4.47,4.53,4.46,4.49,13241434
2024-11-15,4.48,4.52,4.45,4.46,18293358
2024-11-18,4.43,4.47,4.43,4.46,4723401
2024-11-19,4.41,4.45,3.91,4.15,72850186
2024-11-20,4.27,4.3,4.22,4.25,31017937
2024-11-21,4.11,4.19,4.07,4.13,27973973
2024-11-22,4.17,4.2,4.15,4.18,11900813
2024-11-25,4.23,4.2399,4.1701,4.21,20586601
2024-11-26,4.22,4.23,4.14,4.18,14044865
2024-11-27,4.19,4.22,4.16,4.19,12907623
2024-11-29,4.19,4.22,4.19,4.2,4568315
2024-12-02,4.2,4.22,4.17,4.2,9477760
2024-12-03,4.2,4.24,4.18,4.23,10021967
2024-12-04,4.21,4.24,4.16,4.17,16418024
2024-12-05,4.25,4.34,4.24,4.31,20604784
2024-12-06,4.32,4.35,4.24,4.24,10751035
2024-12-09,4.4,4.47,4.38,4.4,19756024
2024-12-10,4.4,4.44,4.36,4.4,14129389
2024-12-11,4.37,4.44,4.36,4.41,12428727
2024-12-12,4.41,4.52,4.41,4.43,18152223
2024-12-13,4.44,4.48,4.41,4.48,12383160
2024-12-16,4.465,4.5,4.45,4.47,11540299
2024-12-17,4.45,4.5,4.44,4.48,14172889
2024-12-18,4.51,4.55,4.38,4.39,12731638
2024-12-19,4.4,4.47,4.4,4.43,18123814
2024-12-20,4.36,4.4554,4.35,4.43,12435968
2024-12-23,4.43,4.46,4.41,4.45,10853995
2024-12-24,4.42,4.49,4.42,4.49,2620048
2024-12-26,4.48,4.54,4.46,4.47,6886245
2024-12-27,4.46,4.49,4.45,4.48,9381284
2024-12-30,4.47,4.48,4.4101,4.42,8188753
2024-12-31,4.43,4.44,4.39,4.43,5306313
2025-01-02,4.46,4.48,4.4249,4.46,12516291
2025-01-03,4.43,4.5,4.42,4.48,10804642
2025-01-06,4.495,4.58,4.49,4.56,14600612
2025-01-07,4.67,4.69,4.62,4.63,15385508
2025-01-08,4.61,4.67,4.59,4.66,9214668
2025-01-10,4.54,4.56,4.5,4.52,13624549
2025-01-13,4.43,4.49,4.42,4.47,13484046
2025-01-14,4.5,4.54,4.4801,4.51,10196918
2025-01-15,4.63,4.65,4.6,4.61,25953901
2025-01-16,4.47,4.47,4.41,4.43,30567446
2025-01-17,4.49,4.55,4.48,4.51,17200675
2025-01-21,4.61,4.64,4.5701,4.61,18114644
2025-01-22,4.63,4.66,4.6,4.61,13115491
2025-01-23,4.64,4.7,4.64,4.69,12342189
2025-01-24,4.535,4.56,4.48,4.51,27089705
2025-01-27,4.55,4.56,4.45,4.5,20443718
2025-01-28,4.49,4.51,4.42,4.46,16866736
2025-01-29,4.47,4.5,4.41,4.44,19272801
2025-01-30,4.825,4.85,4.67,4.7,55209035
2025-01-31,4.63,4.71,4.6,4.6,28625035
2025-02-03,4.55,4.7,4.54,4.62,20338271
2025-02-04,4.62,4.72,4.62,4.72,20211960
2025-02-05,4.705,4.8,4.705,4.8,22158040
2025-02-06,4.84,4.845,4.76,4.79,13925823
2025-02-07,4.8,4.83,4.7801,4.81,14592586
2025-02-10,4.8501,4.87,4.83,4.83,12247248
2025-02-11,4.82,4.9,4.8,4.9,17587916
2025-02-12,4.88,5.01,4.875,5.01,25035034
2025-02-13,4.95,5,4.95,4.99,21506148
2025-02-14,5.03,5.06,4.97,4.99,24233634
2025-02-18,5.02,5.02,4.97,4.99,16837165
2025-02-19,4.94,4.95,4.9,4.95,18498302
2025-02-20,4.97,5.01,4.96,4.99,18406724
2025-02-21,5,5.03,4.93,4.94,20721938
2025-02-24,4.99,5,4.9,4.9,13566371
2025-02-25,4.94,5.01,4.92,4.99,15397212
2025-02-26,4.95,4.98,4.89,4.9,18179802
2025-02-27,4.91,4.91,4.805,4.83,19011879
2025-02-28,4.82,4.8399,4.73,4.8,40079945
2025-03-03,5.09,5.15,4.97,5.01,58126796
2025-03-04,5.03,5.0398,4.87,4.88,46152560
2025-03-05,5,5.18,4.98,5.17,32209709
2025-03-06,5.18,5.23,5.125,5.16,31519635
2025-03-07,5.17,5.26,5.16,5.23,35615179
2025-03-10,5.22,5.28,5.0807,5.14,25137296
2025-03-11,5.2,5.25,5.1,5.15,28341899
2025-03-12,5.17,5.23,5.14,5.2,25903366
2025-03-13,5.17,5.25,5.15,5.2,22466633
2025-03-14,5.29,5.35,5.285,5.33,21499329
2025-03-17,5.35,5.4,5.34,5.39,15886822
2025-03-18,5.37,5.48,5.37,5.42,24555755
2025-03-19,5.41,5.42,5.3203,5.36,14042846
2025-03-20,5.29,5.36,5.285,5.33,11463562
2025-03-21,5.32,5.35,5.2839,5.31,12022410
2025-03-24,5.32,5.365,5.31,5.33,13389834
2025-03-25,5.37,5.39,5.32,5.33,9780191
2025-03-26,5.34,5.36,5.26,5.26,11516725
2025-03-27,5.25,5.27,5.17,5.2,22325778
2025-03-28,5.3,5.32,5.2,5.21,22355382
2025-03-31,5.18,5.29,5.18,5.27,26802388
2025-04-01,5.4,5.41,5.3,5.34,18968892
2025-04-02,5.28,5.38,5.28,5.35,14208789
2025-04-03,5.12,5.2,4.98,4.98,26862691
2025-04-04,4.9,4.925,4.75,4.78,26029371
2025-04-07,4.64,4.96,4.59,4.68,31359642
2025-04-08,4.75,4.91,4.59,4.65,32364198
2025-04-09,4.58,4.96,4.54,4.93,29412598
2025-04-10,4.89,4.9,4.72,4.82,21599560
2025-04-11,4.82,4.99,4.82,4.96,19300662
2025-04-14,4.96,5.04,4.95,4.98,15997007
2025-04-15,5.05,5.16,5.045,5.14,24542449
