time_key,open,high,low,close,volume
2024-10-24,238.68,241.92,235.56,239.06,1593103
2024-10-25,240.62,246.075,240.08,243.16,2140509
2024-10-28,239.42,251.0999,238.13,249.7,2812039
2024-10-29,250.57,256.62,249.06,255.58,2134410
2024-10-30,249.47,253.42,245,245.32,2401855
2024-10-31,244.48,244.48,231.3,234.5,3540566
2024-11-01,234.5,240.17,234.095,238.59,2224189
2024-11-04,237.32,239.21,235.57,236.9,2935914
2024-11-05,220.5,224.84,216.93,224.65,5961084
2024-11-06,228.13,233.83,226.11,231.38,3597991
2024-11-07,237.76,238.85,231.88,236.12,3129520
2024-11-08,233.13,235,227.965,233.89,2743168
2024-11-11,230.98,231.415,223.71,227.04,2715076
2024-11-12,225.31,226.99,221.85,224.79,2528823
2024-11-13,221.57,225.44,221.44,222.96,3145030
2024-11-14,223.88,225.33,221.37,223.96,2250276
2024-11-15,221.83,223.96,216.59,217.04,2793131
2024-11-18,217.2,220.42,216.0371,220.19,2472978
2024-11-19,218.55,220.59,217.245,219.91,1503557
2024-11-20,217.2,220.47,216.0639,220.34,2143872
2024-11-21,222.11,226.29,219.7817,224.57,1769699
2024-11-22,227,227.03,223.705,226.38,1584139
2024-11-25,229.94,235.43,227.83,233.85,2784862
2024-11-26,237.36,238.76,226.75,228.66,2476629
2024-11-27,228.09,229.97,222.86,226.53,1520727
2024-11-29,227.86,232.17,226.715,229.37,1606570
2024-12-02,229.005,236.07,228.175,233.61,2796583
2024-12-03,230.71,232.79,228.09,228.36,2573008
2024-12-04,231.27,231.86,222.54,223.66,2352027
2024-12-05,222.47,223.03,216.41,216.99,2296966
2024-12-06,218.37,220.19,217.61,218.66,2302325
2024-12-09,217.95,225.99,217.2,223.61,2149857
2024-12-10,224.26,224.48,217.05,217.94,1715979
2024-12-11,220.1,221.92,217.76,219.84,2483005
2024-12-12,218.58,219.62,215.43,217.73,1770951
2024-12-13,216.12,218.31,215.05,216.84,2855800
2024-12-16,217.11,220.65,214.79,218.18,2884862
2024-12-17,220.34,223.18,217.61,219.02,3592557
2024-12-18,219.08,223.36,209.29,210.29,3610382
2024-12-19,212.06,213.4599,206.97,207.27,2734949
2024-12-20,205.64,213.47,204.72,210.24,6139389
2024-12-23,210.5,214.84,210.5,214.09,1737645
2024-12-24,214.92,215.41,212.31,215.4,790910
2024-12-26,213,217.38,213,215.04,885784
2024-12-27,213.33,214.95,211.67,213.76,1162105
2024-12-30,211.55,211.95,206.79,207.47,1817889
2024-12-31,208.74,209.49,206.335,207.85,1154488
2025-01-02,209.61,211.6,205.23,206.21,1424491
2025-01-03,207.3,210.14,205,208.86,2308155
2025-01-06,210.01,215.91,210.01,213.41,1972698
2025-01-07,213.88,218.9373,211.24,212.58,2312319
2025-01-08,212.14,213.32,207.34,209.72,2302573
2025-01-10,209.63,211.32,206.38,206.75,2511070
2025-01-13,203.12,207.21,202.25,206.83,1629748
2025-01-14,208.58,210.65,206.73,210.63,1513426
2025-01-15,215.26,216.6618,213.49,213.56,3143423
2025-01-16,215.25,215.42,209.78,210.76,1632367
2025-01-17,216.41,217.458,213.97,215.36,1921559
2025-01-21,215,216.7474,213.33,214.88,3237899
2025-01-22,215.185,219.635,214.01,216.09,2367936
2025-01-23,213.62,219.91,212.685,219.88,2250783
2025-01-24,216.45,217.455,211.57,213.43,2777273
2025-01-27,215.005,219.74,212.38,215.08,4526819
2025-01-28,214,215.71,208.3,213.43,2446618
2025-01-29,213.23,215.74,211.74,213.01,1739617
2025-01-30,211.64,212.76,206.81,211.39,3304073
2025-01-31,212,215.8499,208.31,208.55,3020149
2025-02-03,203,207.0835,198.21,204.73,4743077
2025-02-04,207.84,210,198.87,202.4,3676469
2025-02-05,201.76,214.13,201.58,213.24,4451082
2025-02-06,216.5,220.62,214.655,216.82,2929073
2025-02-07,215.47,217.86,211.27,212.93,2216694
2025-02-10,214.2,215.07,208.76,210.05,2412374
2025-02-11,208.32,213.64,207.6391,210.97,1273192
2025-02-12,216.4,221.49,212.63,219.79,3202696
2025-02-13,219.21,221.28,216.64,219.59,2761468
2025-02-14,220.8,226.44,219.26,224.14,3085481
2025-02-18,226.79,234.085,226.72,228.86,4327314
