time_key,open,high,low,close,volume
2024-10-24,18.99,19.44,17.6,18.06,21673462
2024-10-25,18.36,20.15,18.11,19.11,22632080
2024-10-28,19.98,25.3748,19.82,24.5,45075596
2024-10-29,23.7,25.13,21.68,24.84,26677719
2024-10-30,26.4,28.12,22.64,22.89,30078081
2024-10-31,23.06,23.59,21.53,22.46,14574048
2024-11-01,23.65,24.8,21.31,21.67,20004135
2024-11-04,19.95,21.21,18.56,21.05,15049406
2024-11-05,21.74,21.8,19.95,20.58,10478977
2024-11-06,20.86,22.69,20,21.72,14887169
2024-11-07,21.81,27.1,21.59,26.56,26205139
2024-11-08,26,27.75,24.28,24.47,20247667
2024-11-11,25,25.78,22.65,24.06,12427793
2024-11-12,23.26,25.09,21.79,22.59,14811299
2024-11-13,25.48,25.65,22.44,23.08,22046272
2024-11-14,23.5,24.6,22.82,23.88,16928130
2024-11-15,21,21.0485,17.3148,18,36342759
2024-11-18,19.5,22.15,17.89,20.67,34042339
2024-11-19,20,22.54,19.83,21.8,17211707
2024-11-20,20.75,21.4268,19.53,20.95,17352059
2024-11-21,21.01,25.33,20.05,25.23,24754717
2024-11-22,25.15,26.45,24.29,25.2,15343154
2024-11-25,25.75,26.05,21.9,22.91,18595559
2024-11-26,22.6,24.09,21.95,22.04,9133361
2024-11-27,22.4,23,21.01,21.95,7799538
2024-11-29,22.26,24.4,22.0254,23.54,8951054
2024-12-02,23.99,24.2,22.16,22.23,8530340
2024-12-03,22.05,22.06,20,20.13,13083688
2024-12-04,21.06,21.2,20.05,20.34,8652006
2024-12-05,20.4,20.58,19.58,20.08,7355383
2024-12-06,20.24,21.96,19.75,21.91,11000896
2024-12-09,22.26,22.65,20.07,20.09,8924682
2024-12-10,20.12,20.2227,18.28,18.42,10791101
2024-12-11,19.35,19.59,17.9,19.27,8678780
2024-12-12,19.45,20.29,18.36,18.37,7009831
2024-12-13,18.4,18.73,17.91,18.53,5308304
2024-12-16,17.8499,18.73,17.14,18.48,7936929
2024-12-17,18.03,19.28,17.21,19.1,7785388
2024-12-18,21.41,22.94,18.03,18.38,50038713
2024-12-19,19.36,21.85,18.52,20.96,33848379
2024-12-20,20.1,22.67,19.65,21.52,19738238
2024-12-23,21.77,22.33,19.41,22.02,16889299
2024-12-24,21.95,24,21.42,23.61,11124299
2024-12-26,23.305,24.99,23.03,24.04,12408891
2024-12-27,23.9,24.53,21.68,22.78,10185655
2024-12-30,22.47,24.2878,21.91,23.65,9861112
2024-12-31,23.7,23.8553,20.3,21.23,15636349
2025-01-02,21.23,22.7399,20.7564,21.85,9357663
2025-01-03,21.96,27.44,21.61,27.25,23875598
2025-01-06,27.46,31.66,27.17,30,26852240
2025-01-07,30,31.91,28.28,29.5,15551416
2025-01-08,27.74,29.19,24.7675,26.12,15796514
2025-01-10,26.15,27,24.4,25.24,8870803
2025-01-13,23.66,23.81,21.5,22.88,10626211
2025-01-14,24.06,24.3,22.3509,22.81,9930822
2025-01-15,24.1,26.49,23.81,24.17,13590614
2025-01-16,24.73,25.2,23.09,24.23,9635760
2025-01-17,24.99,26.8,24.2307,26.05,12852919
2025-01-21,27.62,31.48,26.9,31.25,22472439
2025-01-22,32.43,34.95,32.03,34.17,23525014
2025-01-23,32.14,40.2095,32.01,38.78,34230719
2025-01-24,39.55,43.7,38.83,41.82,36783240
2025-01-27,32.68,34.96,29.06,31.11,43302600
2025-01-28,33.05,34.16,30,34.12,28477381
2025-01-29,33.61,38.09,33.27,35.3,32089432
2025-01-30,36.2,42.25,35.89,41.91,34330205
2025-01-31,42.4,45.23,40.37,41.61,26950796
2025-02-03,38.69,47.4,38.2,45.93,32623820
2025-02-04,46.71,48.0154,43.76,46.89,20934637
2025-02-05,46.75,52.45,46.02,50.5,26730427
2025-02-06,51.23,52.99,46.5301,47.76,19884043
2025-02-07,49.395,59.14,48.84,55.49,37705295
2025-02-10,55.05,56.8,53.31,53.73,17091358
2025-02-11,53.04,54.1,49.21,50.08,14446809
2025-02-12,47.78,55.3299,47.49,54.38,18768306
2025-02-13,55.41,55.55,50.8,55.03,12778871
2025-02-14,55.38,57.5,51.7,52.62,14232191
2025-02-18,52.81,54.8,49.18,50.19,12388846
2025-02-19,48.46,49.5,44.28,45.12,14986819
2025-02-20,44.605,44.61,40.3,42.66,12387721
2025-02-21,43.56,43.69,37.83,38.79,13961812
2025-02-24,37.17,37.99,33.64,34.08,14554601
2025-02-25,33.525,34.29,29.82,32.07,16463060
2025-02-26,34.5,36.48,33.57,35.19,18781028
2025-02-27,38.45,38.6773,32.31,32.39,17631466
2025-02-28,31.3352,34.66,30.44,33.39,13403049
2025-03-03,34.75,35.07,29.25,29.38,11978033
2025-03-04,28.21,32.2573,27.5,30.92,14577140
2025-03-05,31,31.1328,29.11,30.29,11297456
2025-03-06,29.105,29.36,25.6624,25.97,13001624
2025-03-07,25.71,26.8,24.46,26.27,12029692
2025-03-10,24.88,25.31,23.2601,23.69,11690278
2025-03-11,23.75,26.46,23.54,25.47,13987186
2025-03-12,27.47,28.01,25.16,26.19,15389414
2025-03-13,26.16,26.34,23.87,23.95,8750554
2025-03-14,25.01,27.83,24.889,27.72,13618758
2025-03-17,28.38,29.74,27.61,28,15447641
2025-03-18,27,27.145,25.75,26.02,8849739
2025-03-19,26.94,28.36,25.83,28.05,9283187
2025-03-20,27.36,29.9,27.23,27.77,13191673
2025-03-21,26.94,27.65,26.15,27.16,8093336
2025-03-24,28.95,31.46,28.58,30.91,21618972
2025-03-25,28.88,30.58,27.66,28.93,19207511
2025-03-26,28.66,29.8,25.84,26.37,16008680
2025-03-27,25.41,26.13,23.63,23.82,13689363
2025-03-28,23.68,24.24,22.3,22.39,9669658
2025-03-31,21.3,22.64,21.1,21.63,10081953
2025-04-01,22.88,24.08,21.73,22.53,12724145
2025-04-02,21.85,23.7253,21.8,22.7,10552678
2025-04-03,20.83,22.8,20.8003,21.89,10643954
2025-04-04,20.53,20.85,17.8,19.8,17569916
2025-04-07,18.66,23.41,17.42,21.93,20792765
2025-04-08,23.88,24.02,19.91,20.23,15997504
2025-04-09,20.83,24.65,19.965,24.08,18198067
2025-04-10,23.37,23.6653,21.61,22.72,10859868
2025-04-11,22.83,22.99,21.5425,22.5,7796537
2025-04-14,23.925,24.37,22.31,22.55,8734024
2025-04-15,22.6,23.74,22.36,23,6890477
2025-04-16,21.99,22.53,21.3,21.56,6220586
2025-04-17,21.96,22.1894,21.03,21.98,4594402
2025-04-21,21.5,21.6499,19.89,20.39,7025769
2025-04-22,20.72,21.9798,20.62,21.53,9677814
2025-04-23,22.18,24.24,22.11,23.35,16020524
2025-04-24,23.7,25.27,23.69,24.32,10634861
2025-04-25,23.69,24.31,23.18,23.74,6558914
2025-04-28,24.06,25.25,23.02,24.49,6979534
2025-04-29,24.555,24.84,23.55,24.44,5164234
2025-04-30,23.53,23.81,22.52,23.74,6660117
2025-05-01,24.75,26.93,24.44,26.31,13354025
2025-05-02,27,27.4,26.1,26.24,11570524
2025-05-05,25.63,25.83,24.8601,25.47,5554045
2025-05-06,24.79,28.965,24.53,28.66,18741447
2025-05-07,27.69,27.71,25.7,27.12,16737991
2025-05-08,28.2,28.41,26.44,26.95,10946637
2025-05-09,27.29,28.73,26.16,28.09,16100117
2025-05-12,29.73,30.245,28.16,28.85,15034198
2025-05-13,29.2,32.63,29.17,32.03,23396850
2025-05-14,34.55,39.37,34.1,37.01,39267338
2025-05-15,35.96,38.05,34.4501,37.41,17537887
2025-05-16,38.53,39.9,36.15,37.72,18870151
2025-05-19,35.53,39.83,34.88,39.73,19004431
2025-05-20,41.33,41.33,36.85,37.57,16339817
2025-05-21,37,39.39,35.685,36.81,15484921
2025-05-22,36.81,40.43,35.85,39.72,19220420
2025-05-23,44.66,52.17,43.63,48.87,92503108
2025-05-27,49.52,54.48,46.12,53.9,45495528
2025-05-28,53.49,57.57,53.35,55.24,34571965
2025-05-29,55.725,56,51.73,52.93,21202502
2025-05-30,49.41,54.3599,49.41,52.72,23477970
2025-06-02,50.715,53.58,50.24,52.44,15037074
2025-06-03,56,58.69,49.33,49.77,31354874
2025-06-04,49.425,51.18,45.05,49.09,19198973
2025-06-05,48.28,49.85,46.01,47.16,13324772
2025-06-06,47.1,50.55,46.4,50.29,13254596
2025-06-09,51.7,54.74,48.76,54.26,15735209
2025-06-10,54.28,56.5,50.79,52.54,14780158
2025-06-11,53.56,68.9102,53.36,68.03,55913501
2025-06-12,63.61,71,62.88,64.48,38026508
2025-06-13,61.95,65.6,60.6,63.66,31769000
2025-06-16,67,73.55,64.8007,65.45,29283430
2025-06-17,68.26,69.4,61.79,62.77,24789620
2025-06-18,63.265,63.96,59.62,62.02,14650025
2025-06-20,63,63.95,57.53,57.95,15026112
2025-06-23,57.39,58.7,52.12,55.11,19045026
