time_key,open,high,low,close,volume
2024-10-24,3.87,4.08,3.87,3.95,737026
2024-10-25,4.03,4.1288,3.814,3.84,876900
2024-10-28,3.93,3.95,3.77,3.82,776869
2024-10-29,3.86,3.8793,3.66,3.79,973721
2024-10-30,3.75,4.0101,3.75,3.89,1159004
2024-10-31,3.88,3.88,3.67,3.76,841249
2024-11-01,3.79,3.82,3.65,3.68,670504
2024-11-04,3.65,3.68,3.46,3.6,954276
2024-11-05,3.59,3.68,3.56,3.64,570933
2024-11-06,3.67,3.81,3.65,3.77,1081671
2024-11-07,3.9,4.26,3.8401,4.23,2130722
2024-11-08,4.29,4.32,3.92,4.04,1436354
2024-11-11,4.03,4.04,3.725,3.82,1635088
2024-11-12,3.85,4.03,3.77,4.01,1026228
2024-11-13,3.95,4,3.78,3.88,1176449
2024-11-14,3.9,3.99,3.73,3.84,983396
2024-11-15,3.75,3.784,3.53,3.64,1612004
2024-11-18,3.79,3.8295,3.58,3.65,983880
2024-11-19,3.74,4.16,3.65,4.07,1968672
2024-11-20,4.06,4.18,3.84,3.93,915198
2024-11-21,3.98,4.13,3.8501,4.04,921146
2024-11-22,4.01,4.08,3.865,4.01,1012370
2024-11-25,4.12,4.68,4.1,4.25,3213506
2024-11-26,4.37,5.35,4.33,5.06,5363164
2024-11-27,4.76,5.1626,4.61,4.92,2611985
2024-11-29,5.1,5.52,5.01,5.41,2138161
2024-12-02,5.61,5.83,4.89,4.95,3647833
2024-12-03,5.09,5.39,4.725,5.32,3383136
2024-12-04,5.69,5.79,4.97,5.13,3147157
2024-12-05,5.08,5.14,4.7,4.81,3968118
2024-12-06,4.87,5.29,4.739,5.13,2344569
2024-12-09,5.3,5.68,5.12,5.19,2831586
2024-12-10,5.21,5.3,4.95,5.02,1573236
2024-12-11,4.99,5.17,4.66,4.81,2210765
2024-12-12,4.8,4.86,4.2,4.35,3407478
2024-12-13,4.42,4.44,4.105,4.25,1801928
2024-12-16,4.325,4.83,4.325,4.58,3181016
2024-12-17,4.69,4.69,4.37,4.44,1496508
2024-12-18,4.45,5.3399,4.45,4.83,5114722
2024-12-19,5.21,5.29,4.74,4.81,2628518
2024-12-20,4.75,4.91,4.475,4.76,1728702
2024-12-23,4.8,4.93,4.555,4.86,1440207
2024-12-24,5,5.87,4.925,5.76,4405568
2024-12-26,5.8399,7.79,5.75,7.59,11738887
2024-12-27,7.27,7.34,6.63,6.96,4885738
2024-12-30,6.8,6.88,6.31,6.36,2842269
2024-12-31,6.6,6.75,5.81,5.95,3358282
2025-01-02,6.24,6.54,5.91,6.17,4062914
2025-01-03,6.43,6.8498,6.26,6.75,3470425
2025-01-06,6.98,7,6.14,6.16,3954986
2025-01-07,6.29,6.29,5.87,6,2056518
2025-01-08,5.9,5.9,5.29,5.505,2775436
2025-01-10,5.26,5.32,4.93,5.04,2445566
2025-01-13,4.81,4.84,4.45,4.59,2847846
2025-01-14,4.89,4.95,4.68,4.8,1945262
2025-01-15,5.05,5.14,4.83,5.03,1901819
2025-01-16,5.15,5.223,4.81,4.96,1099410
2025-01-17,5,5.09,4.795,4.95,1271679
2025-01-21,5.15,5.56,5.07,5.49,2559960
2025-01-22,5.73,5.76,5.31,5.45,2625703
2025-01-23,5.37,5.42,5.08,5.22,1568635
2025-01-24,5.23,5.46,5.1,5.25,1181556
2025-01-27,4.93,4.95,4.54,4.74,2597420
2025-01-28,4.91,4.96,4.59,4.77,1133712
2025-01-29,4.77,4.78,4.46,4.57,1917524
2025-01-30,4.64,4.7696,4.59,4.66,897637
2025-01-31,4.85,5.21,4.67,4.77,2280073
2025-02-03,4.34,4.6453,4,4.575,1698244
2025-02-04,4.65,4.8,4.52,4.74,885149
2025-02-05,4.79,5.07,4.62,5.03,1737846
2025-02-06,5.04,5.15,4.79,4.89,1355374
2025-02-07,4.82,4.94,4.59,4.64,1219745
2025-02-10,4.86,5.38,4.8,5.14,3009128
2025-02-11,5.14,5.3,4.915,4.96,1438327
2025-02-12,4.875,5.15,4.62,4.98,1246255
2025-02-13,4.95,5.23,4.88,5.14,1508581
2025-02-14,5.21,5.21,4.82,4.92,1707471
2025-02-18,5,5.07,4.73,4.74,1705542
2025-02-19,4.74,4.985,4.69,4.87,1330809
2025-02-20,4.8,4.86,4.66,4.72,1021632
2025-02-21,4.75,4.79,4.37,4.4,1630633
2025-02-24,4.5,4.5,4.1,4.16,1829768
2025-02-25,4.11,4.16,3.81,3.97,1883942
2025-02-26,4.05,4.32,4.02,4.26,1850436
2025-02-27,4.2,4.3299,3.85,3.86,1428373
2025-02-28,3.8,3.995,3.7103,3.935,1197336
2025-03-03,4.03,4.03,3.3912,3.45,2066542
2025-03-04,3.14,3.67,3.1002,3.55,2008825
2025-03-05,3.52,3.62,3.4601,3.6,581493
2025-03-06,3.46,3.585,3.3,3.41,788055
2025-03-07,3.36,3.6,3.36,3.59,735020
2025-03-10,3.42,3.4997,3.15,3.285,1085681
2025-03-11,3.34,3.49,3.25,3.46,654005
2025-03-12,3.56,3.7601,3.55,3.69,1261202
2025-03-13,3.64,3.73,3.48,3.535,592364
2025-03-14,3.63,3.99,3.5901,3.93,1051906
2025-03-17,3.95,4.06,3.9,4.01,593957
2025-03-18,3.97,4.205,3.8,4.05,1382265
2025-03-19,3.97,4.03,3.82,3.865,1113316
2025-03-20,3.952,4.65,3.9,4.27,4661991
2025-03-21,4.25,4.25,3.89,4.07,1572292
2025-03-24,4.11,4.2113,4.02,4.15,818316
2025-03-25,4.27,4.57,4.24,4.39,1589534
2025-03-26,4.438,4.4399,4.17,4.23,674648
2025-03-27,4.07,4.13,3.97,4.04,849583
2025-03-28,4,4.02,3.85,3.91,875046
2025-03-31,3.76,3.85,3.62,3.78,804896
2025-04-01,3.62,3.8,3.46,3.67,928642
2025-04-02,3.61,3.97,3.55,3.86,582210
2025-04-03,3.43,4.14,3.42,4.065,1413485
2025-04-04,3.8,3.95,3.48,3.595,1469255
2025-04-07,3.24,3.58,3.2,3.325,1737885
2025-04-08,3.51,3.5655,3.1,3.21,861235
2025-04-09,3.15,3.82,3.09,3.81,1567868
2025-04-10,3.67,3.808,3.55,3.67,530636
2025-04-11,3.68,3.76,3.53,3.73,471499
2025-04-14,3.94,3.998,3.795,3.88,741263
2025-04-15,3.92,3.9778,3.72,3.8,603028
2025-04-16,3.69,3.805,3.6501,3.76,309439
2025-04-17,3.73,3.83,3.72,3.775,341843
2025-04-21,3.74,3.74,3.58,3.725,379874
2025-04-22,3.75,3.89,3.67,3.86,532674
2025-04-23,4,4.0762,3.89,3.92,515089
2025-04-24,3.95,4.11,3.94,4.06,386086
2025-04-25,3.985,4.14,3.985,4.11,378747
2025-04-28,4.17,4.65,4.17,4.31,1623019
2025-04-29,4.31,4.31,4.05,4.07,520261
2025-04-30,3.98,4.1,3.78,4.08,362807
2025-05-01,4.21,4.24,4.1,4.15,310522
2025-05-02,4.2,4.48,4.1503,4.34,911056
2025-05-05,4.265,4.5,4.25,4.31,454393
2025-05-06,4.28,4.28,4.1,4.24,287355
2025-05-07,4.26,4.38,4.245,4.34,791632
2025-05-08,4.36,4.4799,4.32,4.42,380118
2025-05-09,4.475,4.6,4.39,4.48,751473
2025-05-12,4.6,4.6072,4.42,4.46,805609
2025-05-13,4.48,4.48,4.24,4.385,729590
2025-05-14,4.4,4.51,4.362,4.49,491315
2025-05-15,4.42,4.49,4.29,4.48,376432
2025-05-16,4.48,4.73,4.45,4.71,746967
2025-05-19,4.57,4.75,4.46,4.7,510064
2025-05-20,4.73,4.75,4.57,4.67,487631
2025-05-21,4.67,4.8148,4.37,4.37,1534841
2025-05-22,4.38,4.58,4.3701,4.44,472533
2025-05-23,4.38,4.46,4.32,4.38,506928
2025-05-27,4.5,4.7983,4.48,4.56,1271769
2025-05-28,4.61,4.63,4.31,4.4,962681
2025-05-29,4.59,4.68,4.365,4.41,1262930
2025-05-30,4.39,4.4292,4.15,4.335,842576
2025-06-02,4.23,4.3198,4.17,4.18,703579
2025-06-03,4.22,4.39,4.06,4.34,875091
2025-06-04,4.4,4.59,4.31,4.48,1052490
2025-06-05,4.48,4.49,4.05,4.06,1791006
2025-06-06,4.15,4.23,4.08,4.19,949642
2025-06-09,4.23,4.23,4.1,4.21,659579
2025-06-10,4.2,4.29,4.18,4.26,461108
2025-06-11,4.27,4.37,4.12,4.16,980469
2025-06-12,4.2,4.2,4.025,4.13,652295
