time_key,open,high,low,close,volume
2024-10-24,166.61,168.94,165.53,168.1,4933426
2024-10-25,170.275,173.18,169.8062,170.27,5496607
2024-10-28,169.42,173.15,169.37,172.22,5024581
2024-10-29,172.195,176.57,171.26,176,6427746
2024-10-30,169.92,171.735,167.53,167.62,8819735
2024-10-31,167.62,167.78,162.08,162.77,10261236
2024-11-01,163.08,166.0847,162.77,165.27,6498125
2024-11-04,165.06,167.5,163.635,165.18,4949802
2024-11-05,165,167.59,164.245,165.91,5373163
2024-11-06,169.25,178.45,168.67,172.99,17661921
2024-11-07,180.265,182.1,171.63,172.91,23586315
2024-11-08,172.09,173.49,168.7546,170.91,10736646
2024-11-11,170,170.79,166.09,168.29,7829485
2024-11-12,167.05,167.33,161.8601,163.41,8483331
2024-11-13,162.79,162.94,159.75,160.42,7921747
2024-11-14,162.95,164.91,161.87,163.97,7012644
2024-11-15,163,164.325,159.6,160.5,9737033
2024-11-18,162.6,165.14,162,164.5,7816812
2024-11-19,164.03,166.23,162.65,164.71,6176848
2024-11-20,164,164.2,152.9505,154.27,14483042
2024-11-21,155.16,156.94,153.59,155.46,10685785
2024-11-22,154.79,156.88,153.73,156.79,5709268
2024-11-25,158.94,159.65,157.2189,158.82,9189843
2024-11-26,159.75,161.47,156.09,156.93,9489853
2024-11-27,156.93,157.65,154.46,156.4,6337854
2024-11-29,158.11,161.52,157.75,158.53,6112016
2024-12-02,158.38,163.37,158.38,163.03,9812677
2024-12-03,161.5,163.86,161.32,162.58,6961372
2024-12-04,164.475,165,162.24,163.34,6721577
2024-12-05,162.59,164.45,159.93,160.39,7279786
2024-12-06,160.39,160.39,157.24,159.51,9918412
2024-12-09,157.48,162.93,157.47,160.74,9481232
2024-12-10,160.77,161.49,156.04,156.46,8683634
2024-12-11,157.29,160.46,156.97,159.83,7081804
2024-12-12,158.67,159.46,156.9214,158.24,5796116
2024-12-13,158.24,159.6805,156.62,158.53,8886682
2024-12-16,158.16,158.71,154.02,157.89,9951138
2024-12-17,156.49,159.98,156.49,157.92,7187382
2024-12-18,158.25,161.16,152.325,153.05,10295189
2024-12-19,154.03,155.47,150.06,150.4,8414797
2024-12-20,149.58,154.57,149.43,152.89,17347066
2024-12-23,155.66,158.69,154.55,158.24,8863199
2024-12-24,158.64,159.4,157.54,159.36,2839592
2024-12-26,157.4,159.5599,157.35,158.53,3847905
2024-12-27,157.19,157.75,155.52,157.24,7232473
2024-12-30,155.23,156.13,153.8,154.58,5355964
2024-12-31,154.72,155.84,153.21,153.62,4423330
2025-01-02,155.01,157.51,152.79,153.64,5009075
2025-01-03,155.42,158.435,154.49,157.83,5887151
2025-01-06,159.33,165.67,159.33,159.85,9599764
2025-01-07,162,163.45,159.25,160.52,7666013
2025-01-08,160.05,160.19,156.94,159.08,7731918
2025-01-10,157.7,158.28,155.55,156.98,6236809
2025-01-13,155.22,157.37,154.8,157.13,5714689
2025-01-14,160.14,161.01,156.559,159.53,6476497
2025-01-15,162.1,165.45,162.09,164.41,9284034
2025-01-16,165.35,165.84,161.28,161.43,7188856
2025-01-17,165.38,165.61,163.1,164.56,8097475
2025-01-21,166,168.68,165.35,167.27,7380518
2025-01-22,168.32,172.0899,168.19,170.24,7281689
2025-01-23,170.38,174.38,169.38,174.36,7172321
2025-01-24,175.1,175.2,171.9422,172.11,5825772
2025-01-27,172.1,172.2,167.28,171.18,15632612
2025-01-28,170.22,173.49,169.81,171.55,8720168
