time_key,open,high,low,close,volume
2024-10-24,237.2,238.48,236.32,238.3,1369560
2024-10-25,238.89,240.08,237.445,237.69,741545
2024-10-28,240.82,240.99,239.73,240.28,874605
2024-10-29,240.5,243.01,240,242.31,802330
2024-10-30,238.7,240.5599,237.19,237.35,820826
2024-10-31,235.95,235.95,231.45,233.64,890508
2024-11-01,234.8,235.56,233.11,233.11,745743
2024-11-04,233.04,233.45,231.675,232.83,416676
2024-11-05,234.08,236.2,234.02,235.9,836254
2024-11-06,229.88,231.63,228.26,231.3,1821838
2024-11-07,236.74,240.372,236.69,240.19,839816
2024-11-08,239.14,239.23,236.74,237.56,706553
2024-11-11,237.4,237.57,234.62,235.86,856107
2024-11-12,235.89,236.615,233.14,234.47,888077
2024-11-13,231.6,232.78,228.43,230,1488511
2024-11-14,232.13,234.24,231.275,231.4,831687
2024-11-15,228.9,229.37,227.52,228.31,824373
2024-11-18,229.7,231.57,229.26,231.3,611056
2024-11-19,229.99,233.69,229.72,233.2,614153
2024-11-20,234.11,235.03,231.29,235.02,603955
2024-11-21,234.54,236.65,233.26,236.03,947160
2024-11-22,235.74,236.76,234.255,236.25,750754
2024-11-25,237.17,237.23,233.26,233.81,616801
2024-11-26,234.41,235.135,233.33,235.06,804861
2024-11-27,232.46,233.228,231.55,232.02,961865
2024-11-29,234.38,237.93,234.06,237.6,420898
2024-12-02,239.72,242.24,238.23,241.59,799570
2024-12-03,242.31,245.02,242,243.9,788583
2024-12-04,249.59,254.72,248.7,253.61,895022
2024-12-05,255.29,256.13,253.82,255.54,825278
2024-12-06,254.61,256.13,253.725,254.14,843545
2024-12-09,254.2,254.83,251.86,252.54,728040
2024-12-10,253.58,254.36,251.3,251.33,532514
2024-12-11,246.41,250.98,246.275,249.53,1138381
2024-12-12,251.03,254.7,250.62,253.63,965484
2024-12-13,253.17,253.95,251.5327,253.3,664721
2024-12-16,252.61,253.99,252,252.96,1033947
2024-12-17,252.04,252.23,250.52,250.97,1118979
2024-12-18,252.62,253.5,244.37,244.45,968960
2024-12-19,247.43,248.17,244.9201,245.69,1499314
2024-12-20,243.79,250.28,243.19,247.9,1647601
2024-12-23,246.57,249.51,244.7201,248.86,980231
2024-12-24,248.47,254.09,248.37,253.64,722193
2024-12-26,253.01,254.5405,252.22,253.51,721494
2024-12-27,249.96,250.48,248.19,250.15,1384302
2024-12-30,246.88,250.16,245.32,248.83,572437
2024-12-31,248.83,250.3,245.91,246.21,522594
2025-01-02,245.34,246.23,241.9028,243.12,839235
2025-01-03,241.99,243.64,240.69,241.4,746547
2025-01-06,245.2,248.84,244.41,247.05,1171044
2025-01-07,253.43,253.45,248.69,249.51,978881
2025-01-08,250.97,253.85,250.58,253.49,1349417
2025-01-10,253.25,253.82,250.11,251.53,984844
2025-01-13,247.88,249.66,247.42,249.53,807938
