time_key,open,high,low,close,volume
2024-10-24,104.53,105.08,102.35,103.98,2746563
2024-10-25,104.22,105.65,102.92,103.01,2485898
2024-10-28,103.77,103.89,101.03,101.32,2767040
2024-10-29,101.36,101.71,100.19,101.33,2014688
2024-10-30,100.97,101.2999,98.94,99.79,2862322
2024-10-31,99.42,101.21,98.91,100.37,2708766
2024-11-01,99.59,100.9833,98.66,99.11,2001959
2024-11-04,98.83,101.27,98.83,99.89,1961320
2024-11-05,100.21,101.87,100.025,101.65,1519718
2024-11-06,103.97,104.8,102.58,102.98,2411658
2024-11-07,103.78,105.28,102.98,105.11,1953587
2024-11-08,105.47,106.24,104.19,104.78,1329808
2024-11-11,104.69,104.82,101.61,101.84,1633445
2024-11-12,100.92,102.24,98.75,99.8,2064799
2024-11-13,99.87,100.6496,98.21,98.27,1630347
2024-11-14,97.73,98.76,96.99,97.46,1814445
2024-11-15,96.92,97.545,96.41,96.79,1926370
2024-11-18,97.39,97.545,96.34,97.02,1384477
2024-11-19,96.99,97.83,96.1,97.8,1766609
2024-11-20,98,98.43,96.58,98.02,1875646
2024-11-21,98.75,100.21,98.07,99.92,1744754
2024-11-22,100.4,100.6599,99.17,99.62,2675654
2024-11-25,101,103.39,100.806,101.36,4038938
2024-11-26,101.92,103.17,101.25,101.66,2412588
2024-11-27,101.32,101.41,98.6308,100,1799246
2024-11-29,100,102.32,99.97,101.33,1460313
2024-12-02,101.82,105.12,101.44,103.16,2476921
2024-12-03,102.05,102.7216,97.91,98.8,3267433
2024-12-04,99.99,100.22,94.97,97.63,4572320
2024-12-05,98.03,99.4,97.87,98.18,2285605
2024-12-06,98.18,99.09,97.61,98.51,2720330
2024-12-09,98.43,99.9,98.1,98.97,2437145
2024-12-10,98.85,98.94,96.77,97.59,2812652
2024-12-11,97.95,99.13,96.57,98.39,2555625
2024-12-12,98.46,100.18,97.115,97.64,2834858
2024-12-13,97.58,98.31,95.52,95.75,4938064
2024-12-16,95.32,97.15,95.04,95.58,3552538
2024-12-17,94.8,96.4599,94.09,94.49,2406172
2024-12-18,94.6,95.31,91.52,91.6,3132143
2024-12-19,91.6,92.11,87.41,87.54,4522294
2024-12-20,88.09,89.01,86.87,87.31,6072472
2024-12-23,87.46,88.62,87.3,88.53,2106787
