time_key,open,high,low,close,volume
2024-10-24,118.2,118.295,109.53,110.72,7147997
2024-10-25,111.19,113.52,110.99,111.75,3573702
2024-10-28,111.85,112.135,110.22,111.33,2672071
2024-10-29,111.33,113.8,111,113.24,2284538
2024-10-30,111.48,112.77,109.42,109.48,2861371
2024-10-31,109.06,109.82,105.53,106.21,3392648
2024-11-01,106.68,107.84,106.11,106.49,2352075
2024-11-04,104.93,106.13,104.065,104.27,1830656
2024-11-05,104.22,105.56,103.72,105.45,3265716
2024-11-06,108.3,109.84,107.14,109,2250134
2024-11-07,111.14,112.44,110.61,111.64,1761142
2024-11-08,110.22,111.28,109.525,110.89,1721185
2024-11-11,110.53,110.63,107,108.81,2027276
2024-11-12,109.91,110.23,107.16,108.33,2213407
2024-11-13,107.08,108.64,106,106.38,1780915
2024-11-14,107.99,108.15,106.18,106.52,1502708
2024-11-15,104,105.26,102.25,102.58,3091875
2024-11-18,102.4,104.36,102.26,104.15,2865371
2024-11-19,103.64,104.05,102.3,102.8,2031814
2024-11-20,102.29,103.79,101.88,103.58,2315667
2024-11-21,104.54,105.965,103.4,105.52,2568542
2024-11-22,105.12,108.25,105.07,108.21,1651590
2024-11-25,110.72,112.28,109.335,110.67,2118405
2024-11-26,112.11,112.1299,108.07,109.06,1768350
2024-11-27,109.53,109.78,106.13,108.09,1370706
2024-11-29,109.95,112.32,109.81,110,1437423
2024-12-02,110.04,113.85,110.04,113.2,2785730
2024-12-03,111.56,116.1,111.225,115.47,2669777
2024-12-04,118.01,118.11,114.6607,116.89,2628831
2024-12-05,116.21,117.08,113.03,113.72,1924453
2024-12-06,114.99,119.78,114.5,118.51,3466793
2024-12-09,119.11,122.615,117.7,119.56,2829053
2024-12-10,121.15,121.15,116.1349,117.03,2358874
2024-12-11,118.78,121.36,117.91,120.2,2361063
2024-12-12,119.35,121.565,117.79,120.95,2256761
2024-12-13,122.92,124.42,121.81,123.22,3953933
2024-12-16,127.92,130.2,125.03,129.48,3368933
2024-12-17,129.02,130.28,126.73,128.01,2285754
2024-12-18,129.94,133.34,122.94,123.77,3467965
2024-12-19,127.89,130.1,124.73,125.19,3295178
2024-12-20,124.61,129.04,123.46,125.95,7149833
2024-12-23,126.085,128.87,125.77,128.47,2080754
2024-12-24,128.92,130.1665,128.4,129.96,716893
2024-12-26,129.64,131.88,128.89,130.84,1397969
2024-12-27,129.62,130.04,127.615,128.54,1640243
2024-12-30,125.97,128.26,124.67,126.7,1893806
2024-12-31,126.81,128.11,125.25,125.92,1283439
2025-01-02,126.76,128.445,125.73,126.56,1756866
2025-01-03,127,131.39,126.21,130.6,2130796
2025-01-06,135.535,140.66,135.31,140,3888483
2025-01-07,141.27,144.16,137.38,138.82,3228463
