time_key,open,high,low,close,volume
2024-10-24,125.91,127.1126,123.3,125.58,3317361
2024-10-25,127.35,128.35,123.1,124.03,3792453
2024-10-28,125.21,128.62,123.97,127.78,5213272
2024-10-29,125.58,127.86,124.34,126.66,4738626
2024-10-30,127.05,128.46,121.501,124.11,4166528
2024-10-31,124.31,125.73,122.42,124.96,4073477
2024-11-01,124.6,126.3399,119.09,119.51,5979565
2024-11-04,117.69,118.8,111.5,115.74,10742732
2024-11-05,116.31,122.27,115.89,121.9,6438761
2024-11-06,125.17,127,121.07,126.09,7411320
2024-11-07,138.11,143.79,130.02,135.73,14877347
2024-11-08,135.24,144.77,135.24,141.9,9826064
2024-11-11,146.28,149.8,141.95,145.8,7850401
2024-11-12,143.92,145.98,137.2432,142.16,5314726
2024-11-13,145.43,147.6,141.31,142.12,3863155
2024-11-14,142.23,143.41,138.17,138.46,3230222
2024-11-15,137.6,142.6,137.0343,142.15,3562142
2024-11-18,142.72,152.64,142.72,146.63,5753270
2024-11-19,144.14,154.95,143.13,154.86,6372412
2024-11-20,155.77,157.72,151.26,154.63,4446714
2024-11-21,157.74,167.6,156.86,166.61,7868541
2024-11-22,168.67,168.67,158.12,161.92,6993281
2024-11-25,166,166.38,152.715,154.14,7673782
2024-11-26,154.38,164.14,153.61,162.66,5331061
2024-11-27,161.68,163.15,153.4,154.52,4819867
2024-11-29,158.49,160.9,156.73,159.84,2475784
2024-12-02,161.6,163.33,153.5348,154.11,4843847
2024-12-03,155.64,158.88,153.9,154.16,3898821
2024-12-04,158.94,164.25,157.01,161.31,5327192
2024-12-05,161,164.86,159.5801,160.88,3554231
2024-12-06,161.1,163.49,157.29,159.98,3220359
2024-12-09,160.17,160.71,146.15,148.31,6844247
2024-12-10,145.88,147.8,139.3,141.52,7109745
2024-12-11,145.94,148.41,143.44,146,6209303
2024-12-12,146.43,148.98,144.6,145.08,3703005
2024-12-13,146.35,149.35,143.59,144.89,4016382
2024-12-16,144.71,147.22,143.28,145.33,4801267
2024-12-17,142.88,143.37,136.1,139.77,5475158
2024-12-18,141.25,141.25,131.64,132.89,5690551
2024-12-19,134.61,139.7299,133.32,137.2,7554355
2024-12-20,132.45,141.63,132,139.95,8735096
2024-12-23,140,141.365,135.62,140.79,2871442
2024-12-24,142.03,144.16,141.02,143.36,1642685
2024-12-26,142.9,144.88,141.4461,144.11,1929165
2024-12-27,143,143,136.74,139.68,3214672
2024-12-30,136.05,141.1763,134.86,140.09,4930578
2024-12-31,139.91,140.439,137.02,137.87,2761579
2025-01-02,139.63,149.89,138.26,149.66,6169614
2025-01-03,154.36,162.6599,151.66,162.36,8762610
2025-01-06,165.16,166,159.5,163.95,7406885
2025-01-07,164.61,165.21,155.8,163.37,5258711
2025-01-08,162.97,163,152.61,160.81,7198722
2025-01-10,161.5,169.19,154.4,166.73,9743449
2025-01-13,161.71,164.74,156.31,162.13,6289177
2025-01-14,166.68,175,165.69,170.51,7486299
2025-01-15,175,178.08,167.09,169.17,7817337
2025-01-16,170.93,178.4,170,174,5771979
2025-01-17,169.03,173.28,166.5,170.86,8263482
2025-01-21,179.3,188.77,174.85,185.35,10678236
2025-01-22,192.99,194.67,183.3,186.86,9003524
2025-01-23,189,199.84,188.22,191.89,10217834
2025-01-24,194.02,194.44,189.11,191.11,5265563
2025-01-27,154.09,156.93,132.59,137.08,32356914
2025-01-28,142.18,149.9,134.92,149.64,20930978
2025-01-29,147.25,160,146.628,155.21,14323395
