time_key,open,high,low,close,volume
2024-10-24,182.51,185.46,182,183.93,1085336
2024-10-25,185.38,188.63,183.86,184.96,927178
2024-10-28,186.65,188.56,185.5,187,905130
2024-10-29,186.98,190.44,185.03,189.85,1294579
2024-10-30,189.32,192.1,186.22,186.78,708528
2024-10-31,186.5,187,180.65,180.79,1786558
2024-11-01,181.15,183.9375,179.63,182.59,1239157
2024-11-04,181.94,186.2,180.42,184.9,832880
2024-11-05,185.85,188.03,183.69,186.91,992084
2024-11-06,192.33,196.1525,190.85,193.03,1745584
2024-11-07,193.59,197.71,192.9,196.71,1876013
2024-11-08,196.65,197.1,192.5,195.73,1062257
2024-11-11,196.75,200.43,195.05,199.54,1712095
2024-11-12,200,209.31,199.54,209.04,2260930
2024-11-13,210,217.84,208.54,209.85,2711197
2024-11-14,209.85,210.46,205.67,208.5,1165211
2024-11-15,204.67,205.5345,198.33,201.47,1347373
2024-11-18,203.27,204.63,200.67,202.85,1131701
2024-11-19,199.63,204.97,198.68,204.36,1096180
2024-11-20,204,205.99,198.84,200.94,1212305
2024-11-21,202.43,210.71,202.35,207.3,1836332
2024-11-22,210,212.98,207.54,210.96,2036117
2024-11-25,214.16,216.3,208.75,210.42,1758167
2024-11-26,210.69,211.99,207.815,210.3,1277405
2024-11-27,209.56,209.56,202.25,204.96,1559086
2024-11-29,206,207.85,204.475,206.59,943506
2024-12-02,207.55,212.345,206.17,208.51,5485568
2024-12-03,195.9,202.734,194.64,198.64,7979725
2024-12-04,201,208.6846,196.3,206.36,3586090
2024-12-05,205.63,212,202.55,205.61,2577506
2024-12-06,207.48,215.1413,206.27,211.99,2458532
2024-12-09,213.66,216.7,204.74,206.13,2027011
2024-12-10,205.28,207.0499,200.1502,201.39,1806519
2024-12-11,204.55,209.3699,204,207.92,1543432
2024-12-12,207.62,209.39,205.11,206.36,937453
2024-12-13,206.36,206.78,197.46,198.54,1887950
2024-12-16,200,204.65,197.86,204.41,1484658
2024-12-17,201.76,202.5,198,200.45,2355781
2024-12-18,200,200.8,185.5,185.69,4302177
2024-12-19,190.11,190.8,182.56,183.21,2708343
2024-12-20,180.84,188.67,179.11,187.38,3264803
2024-12-23,187.82,188.06,184.315,185.94,1265566
2024-12-24,185.98,187.59,184.68,187.26,654154
2024-12-26,186,188.4999,185.87,187.63,806804
2024-12-27,185.26,185.93,181.26,184.56,1256388
2024-12-30,181.53,184.405,180.1,183.13,1032433
2024-12-31,184.115,184.2,179.7228,180.41,920751
2025-01-02,184.05,184.48,180.18,181.66,855394
2025-01-03,182.62,186.57,182.62,185.84,1052482
2025-01-06,187,190.25,185.155,188.71,1155837
2025-01-07,188.9,190.575,182.02,183.9,2198574
2025-01-08,181.88,190,181.88,187.28,1687136
2025-01-10,183.78,192.615,183.36,189.98,2212332
2025-01-13,187.87,189.1899,185.31,186.49,1357017
